storage_id,unit_id,unit_kind,final_role,storage_kind,storage_path,byte_start,byte_end,logical_character_count,logical_byte_count,logical_sha256,physical_file_sha256,public_repository_status
storage:bibit:record:bibit000020,bibit:record:bibit000020,broader,historical_general,existing_committed_slice,data/processed/bibit_resolved_v1/historical_general/part-0001.txt,1331288,1399979,67941,68691,dcf80db3a06028c09ab402b32c09cfee48335357095d958535aa6a8a8c9c66db,9d798cd2a69a7ab7da0ff1272a81160aff00b7ac18617dddee557c564dfb7f0a,committed_v1_reference_or_v8_delta
storage:bibit:record:bibit000021,bibit:record:bibit000021,broader,historical_general,existing_committed_slice,data/processed/bibit_resolved_v1/historical_general/part-0001.txt,1399980,1769214,366364,369234,ff0e101aada3124ee5aabddac187f3a28603cce898102059ba691a7ea3a6d3c8,9d798cd2a69a7ab7da0ff1272a81160aff00b7ac18617dddee557c564dfb7f0a,committed_v1_reference_or_v8_delta
storage:bibit:record:bibit000022,bibit:record:bibit000022,broader,historical_general,existing_committed_slice,data/processed/bibit_resolved_v1/historical_general/part-0001.txt,1769215,2900573,1119313,1131358,623c5eae7047c7fb8890cc3f068d6c5569f5839317ea7e4b8c868abfbefbbb85,9d798cd2a69a7ab7da0ff1272a81160aff00b7ac18617dddee557c564dfb7f0a,committed_v1_reference_or_v8_delta
storage:bibit:record:bibit000023,bibit:record:bibit000023,broader,historical_general,existing_committed_slice,data/processed/bibit_resolved_v1/historical_general/part-0001.txt,2900574,2990399,88924,89825,b5f8446729dce597bbcd29aabc23bd5b73a6840851250c037c02dd16d631068e,9d798cd2a69a7ab7da0ff1272a81160aff00b7ac18617dddee557c564dfb7f0a,committed_v1_reference_or_v8_delta
storage:bibit:record:bibit000024,bibit:record:bibit000024,broader,historical_non_sonnet_poetry,existing_committed_slice,data/processed/bibit_resolved_v1/historical_non_sonnet_poetry/part-0001.txt,638853,746213,106116,107360,5601331537cdd78c46adb7c105dd883bcf1909bb879b3e41f2e9a62bc67075cc,4bfbb270aa56f69b30096f4121ca11a51bf2a2070deacf9b286fc4c205087a6c,committed_v1_reference_or_v8_delta
storage:bibit:record:bibit000025,bibit:record:bibit000025,broader,historical_non_sonnet_poetry,existing_committed_slice,data/processed/bibit_resolved_v1/historical_non_sonnet_poetry/part-0001.txt,746214,820349,72056,74135,516137a685144bb0c45961e208ee6fb2fa156dd040d50199be94af8cc2e4e6b4,4bfbb270aa56f69b30096f4121ca11a51bf2a2070deacf9b286fc4c205087a6c,committed_v1_reference_or_v8_delta
storage:bibit:record:bibit000026,bibit:record:bibit000026,broader,historical_non_sonnet_poetry,existing_committed_slice,data/processed/bibit_resolved_v1/historical_non_sonnet_poetry/part-0001.txt,820350,992766,170753,172416,0ffca05a7177765de0f5d1625f7ca8f60804ecf5ef9289790b447ee7e53c14da,4bfbb270aa56f69b30096f4121ca11a51bf2a2070deacf9b286fc4c205087a6c,committed_v1_reference_or_v8_delta
storage:bibit:record:bibit000027,bibit:record:bibit000027,broader,historical_general,existing_committed_slice,data/processed/bibit_resolved_v1/historical_general/part-0001.txt,2990400,3083672,92251,93272,2cf71f135a665f85e03697ea258e7100cc5cb8cb1f6900cb06420faa391296e8,9d798cd2a69a7ab7da0ff1272a81160aff00b7ac18617dddee557c564dfb7f0a,committed_v1_reference_or_v8_delta
storage:bibit:record:bibit000028,bibit:record:bibit000028,broader,historical_general,existing_committed_slice,data/processed/bibit_resolved_v1/historical_general/part-0001.txt,3083673,3092575,8854,8902,8434e2fa421e626f50fb826649a719decf8ef1eb2df45b5b8f58d8849bd5f3c0,9d798cd2a69a7ab7da0ff1272a81160aff00b7ac18617dddee557c564dfb7f0a,committed_v1_reference_or_v8_delta
storage:bibit:record:bibit000030,bibit:record:bibit000030,broader,historical_general,existing_committed_slice,data/processed/bibit_resolved_v1/historical_general/part-0001.txt,3092576,3169174,75448,76598,01d4d04f45cc3b61e4cccddd6265e03da17a554a45eb3d5543221786bc29bdfc,9d798cd2a69a7ab7da0ff1272a81160aff00b7ac18617dddee557c564dfb7f0a,committed_v1_reference_or_v8_delta
storage:bibit:record:bibit000032,bibit:record:bibit000032,broader,nineteenth_century_bridge,existing_committed_slice,data/processed/bibit_resolved_v1/nineteenth_century_bridge/part-0001.txt,0,166031,163322,166031,a22ea0d095aa2ef97203670c7c45c6a54775011de4e5167ac36a036e1b6ac225,ee447e65c2ce1e1ac950b8c4d7faaa7474fd0606c31deaabbca36011431829a1,committed_v1_reference_or_v8_delta
storage:bibit:record:bibit000035,bibit:record:bibit000035,broader,historical_general,existing_committed_slice,data/processed/bibit_resolved_v1/historical_general/part-0001.txt,3776253,4113756,333730,337503,c8821d520d4b5ea98cc0e4ab2c5290602fa2b5316151c66d23b7d140723df680,9d798cd2a69a7ab7da0ff1272a81160aff00b7ac18617dddee557c564dfb7f0a,committed_v1_reference_or_v8_delta
storage:bibit:record:bibit000036,bibit:record:bibit000036,broader,historical_non_sonnet_poetry,existing_committed_slice,data/processed/bibit_resolved_v1/historical_non_sonnet_poetry/part-0001.txt,992767,1101523,106433,108756,1db81bef8e5cdf4f73b7e505592222bb87f625aecb0d883d05f1a3e3935ce815,4bfbb270aa56f69b30096f4121ca11a51bf2a2070deacf9b286fc4c205087a6c,committed_v1_reference_or_v8_delta
storage:bibit:record:bibit000037,bibit:record:bibit000037,broader,historical_general,existing_committed_slice,data/processed/bibit_resolved_v1/historical_general/part-0001.txt,4113757,4156147,41752,42390,9203e7fede5c6433b03794d256c83f264fcc51690b23914ade2a2ac8bf6d4a7a,9d798cd2a69a7ab7da0ff1272a81160aff00b7ac18617dddee557c564dfb7f0a,committed_v1_reference_or_v8_delta
storage:bibit:record:bibit000038,bibit:record:bibit000038,broader,historical_non_sonnet_poetry,existing_committed_slice,data/processed/bibit_resolved_v1/historical_non_sonnet_poetry/part-0001.txt,1101524,1229432,126493,127908,b37c9c525c9bbd374123c3b645c81cdef61f995d5c2850a3cf792601f7e489ff,4bfbb270aa56f69b30096f4121ca11a51bf2a2070deacf9b286fc4c205087a6c,committed_v1_reference_or_v8_delta
