ebook_id,title,authors,source_pool,source_archive,source_url,period_bucket,input_role,final_role,language_route,source_decision,extraction_policy,canonical_reference_ids,activation_status,artifact_status,cache_path,cache_sha256,source_cleaned_sha256,source_cleaned_character_count,retained_source_character_count,excluded_source_character_count,shard_path,byte_start,byte_end,cleaned_character_count,cleaned_byte_count,cleaned_sha256
61304,Cronaca di Fra Salimbene parmigiano vol. I,"Salimbene, da Parma",initial_eligible_pool,Project Gutenberg,https://www.gutenberg.org/ebooks/61304,origins_through_1800,historical_general,historical_general,standard_italian,eligible_standard_core_pending_processed_build,preserve_boilerplate_stripped_primary_text,,eligible_pending_v7_and_mixture_freeze,text_materialized_pending_v7,data/local/gutenberg/fulltext_gate_v1/pg61304.txt,35e0985d47bd4ebab33930415998d5622d21b1d772699fd18da10deee4dc23a6,055330e3003d3a33ad3703306019d172309ab338627c8b58761805035108c151,691939,691708,231,data/processed/project_gutenberg_resolved_v1/historical_general/part-0001.txt,45200470,45897962,691708,697492,ab8516486215969d1058b96745ced98c5840facd4ce92da65026e08f37a4979a
61305,Cronaca di Fra Salimbene parmigiano vol. II,"Salimbene, da Parma",initial_eligible_pool,Project Gutenberg,https://www.gutenberg.org/ebooks/61305,origins_through_1800,historical_general,historical_general,standard_italian,eligible_standard_core_pending_processed_build,preserve_boilerplate_stripped_primary_text,,eligible_pending_v7_and_mixture_freeze,text_materialized_pending_v7,data/local/gutenberg/fulltext_gate_v1/pg61305.txt,2f1abef979073d4be8b22b5b78c3a17ecf3448469f80a2605e12cf5bd0ef654b,c0b47550ecb36373d0899e8b99db71ae6c02a1b9eb716a6e614489f18ed99544,626695,626464,231,data/processed/project_gutenberg_resolved_v1/historical_general/part-0001.txt,45897963,46530439,626464,632476,5a9b8e0e97247c3fc0cd0b62c316c3fe01d935f876e5c66f3320f2cadd307ec8
61548,Le seduzioni - Le vergini folli,"Guglielminetti, Amalia",pass_1b_eligible_pool,Project Gutenberg,https://www.gutenberg.org/ebooks/61548,nineteenth_century_bridge,historical_non_sonnet_poetry,historical_non_sonnet_poetry,standard_italian,eligible_standard_core_pending_processed_build,preserve_boilerplate_stripped_primary_text,,eligible_pending_v7_and_mixture_freeze,text_materialized_pending_v7,data/local/gutenberg/metadata_review_v1/pg61548.txt,97ec658bc8cf34f968d9f5d98a3e8cafd08e1e0f69a378a7afbb66ea67b757a3,cb41f6b2d3473e083673e5f64217d0aa48542ea973fe504f6f93223cb2de638e,118098,70149,47949,data/processed/project_gutenberg_resolved_v1/historical_non_sonnet_poetry/part-0001.txt,10880882,10951992,70231,71110,59057a44c6da07d83580ffc1666991224e29932c8be797f26760af5bf8b49d50
61563,Vita mondana,Memini,initial_eligible_pool,Project Gutenberg,https://www.gutenberg.org/ebooks/61563,nineteenth_century_bridge,nineteenth_century_bridge,nineteenth_century_bridge,standard_italian,eligible_standard_core_pending_processed_build,preserve_boilerplate_stripped_primary_text,,eligible_pending_v7_and_mixture_freeze,text_materialized_pending_v7,data/local/gutenberg/fulltext_gate_v1/pg61563.txt,506922cf892397ed438760560c88e9588e70a685d3404743831005eb0b0fc12f,8cbdd1f441528e158be0f5aa9db4536cd462dcf4c572885a5b3974919066c530,339081,338937,144,data/processed/project_gutenberg_resolved_v1/nineteenth_century_bridge/part-0003.txt,28179406,28523030,338937,343624,597051c8ee18be58e0e6076f80a390965ea9d3b52c0fc2c4231bdf4f7d9bdad7
61704,"Niccolò Machiavelli e i suoi tempi, vol. I","Villari, Pasquale",pass_1b_eligible_pool,Project Gutenberg,https://www.gutenberg.org/ebooks/61704,nineteenth_century_bridge,nineteenth_century_bridge,nineteenth_century_bridge,standard_italian,eligible_standard_core_pending_processed_build,preserve_boilerplate_stripped_primary_text,,eligible_pending_v7_and_mixture_freeze,text_materialized_pending_v7,data/local/gutenberg/metadata_review_v1/pg61704.txt,fa957eac86cca5af7dd38b422ad4d8fd7eae5758bfadb3aa9aa68a4113815e18,5d1ab92bfa21def99b171baa88619d7a1c73ced34e27da543adbd5cc30075af0,1316955,1316725,230,data/processed/project_gutenberg_resolved_v1/nineteenth_century_bridge/part-0003.txt,28523031,29851199,1316725,1328168,dfb6537186dc4014e80ae521e938876c2837373e8326fdb2b6c099135aef4390
61705,"Niccolò Machiavelli e i suoi tempi, vol. II","Villari, Pasquale",pass_1b_eligible_pool,Project Gutenberg,https://www.gutenberg.org/ebooks/61705,nineteenth_century_bridge,nineteenth_century_bridge,nineteenth_century_bridge,standard_italian,eligible_standard_core_pending_processed_build,preserve_boilerplate_stripped_primary_text,,eligible_pending_v7_and_mixture_freeze,text_materialized_pending_v7,data/local/gutenberg/metadata_review_v1/pg61705.txt,23e89eaad7d4abc5cbf82d29e2ba3a3e161ee21ed11ee7efdfaa03b431f84818,897e39107779698d94bcaa3d691a0f37fdcdf74b56ecf90034cb48404be533b0,1247973,1247829,144,data/processed/project_gutenberg_resolved_v1/nineteenth_century_bridge/part-0003.txt,29851200,31111576,1247829,1260376,d98933fbe0086f8642d35f19a9ea996da77a7d59c68039b4af710f6562bee512
61706,"Niccolò Machiavelli e i suoi tempi, vol. III","Villari, Pasquale",pass_1b_eligible_pool,Project Gutenberg,https://www.gutenberg.org/ebooks/61706,nineteenth_century_bridge,nineteenth_century_bridge,nineteenth_century_bridge,standard_italian,eligible_standard_core_pending_processed_build,preserve_boilerplate_stripped_primary_text,,eligible_pending_v7_and_mixture_freeze,text_materialized_pending_v7,data/local/gutenberg/metadata_review_v1/pg61706.txt,2cb4abdac54874836d2ec38d87158892ceb6020bad164a97a0f43bc63a24bc6e,afe3f00027e40f0b32de814d33035a9f3f1cc01aa5aa8ead8ddaf743c209b1a4,1255748,1255604,144,data/processed/project_gutenberg_resolved_v1/nineteenth_century_bridge/part-0003.txt,31111577,32376875,1255604,1265298,ee593e3213b2e2bcc9b4a11b1210a4636a6174d01e705725a1a716da1b90b71e
61921,Viaggj del Capitano Lemuel Gulliver in Diversi Paesi Lontani,"Swift, Jonathan",initial_eligible_pool,Project Gutenberg,https://www.gutenberg.org/ebooks/61921,origins_through_1800,historical_general,historical_general,standard_italian,eligible_standard_core_pending_processed_build,preserve_boilerplate_stripped_primary_text,,eligible_pending_v7_and_mixture_freeze,text_materialized_pending_v7,data/local/gutenberg/fulltext_gate_v1/pg61921.txt,2a23e4584f6d3c6bae976ceade294c66353fc73b20a262a3f2341616e18c329a,c6c1f33064378a5cdcd97228de3904a2bef7aa249301c0e02d10afef860648c2,624388,624388,0,data/processed/project_gutenberg_resolved_v1/historical_general/part-0001.txt,46530440,47168118,624388,637678,c6c1f33064378a5cdcd97228de3904a2bef7aa249301c0e02d10afef860648c2
61975,Frutti proibiti,"Farina, Salvatore",pass_1b_eligible_pool,Project Gutenberg,https://www.gutenberg.org/ebooks/61975,nineteenth_century_bridge,nineteenth_century_bridge,nineteenth_century_bridge,standard_italian,eligible_standard_core_pending_processed_build,preserve_boilerplate_stripped_primary_text,,eligible_pending_v7_and_mixture_freeze,text_materialized_pending_v7,data/local/gutenberg/metadata_review_v1/pg61975.txt,f02ccad3b12da60697b500df47e4bb338ff31447c899132d54b137f635bc6fd3,b6e912d707cd4d39715f36bdf3f445fb898580984e499d8f3f3e0b63d9448a26,286138,285994,144,data/processed/project_gutenberg_resolved_v1/nineteenth_century_bridge/part-0003.txt,32376876,32667516,285994,290640,669dd892f511a17d930aca0fdb4978aaee5ffc792d5f94ef51a76f712825bc8a
61991,La realtà: dramma in 3 atti,"Rovetta, Gerolamo",pass_1b_eligible_pool,Project Gutenberg,https://www.gutenberg.org/ebooks/61991,nineteenth_century_bridge,nineteenth_century_bridge,nineteenth_century_bridge,standard_italian,eligible_standard_core_pending_processed_build,preserve_boilerplate_stripped_primary_text,,eligible_pending_v7_and_mixture_freeze,text_materialized_pending_v7,data/local/gutenberg/metadata_review_v1/pg61991.txt,da583f735ac7e200566ae1a9c43ed9b200619582a5d878f555f88bc248e33ee7,99c50a30377899c52e5663e67d614bd453e52885cbc45de56583030ca741d7f8,103412,103268,144,data/processed/project_gutenberg_resolved_v1/nineteenth_century_bridge/part-0003.txt,32667517,32771853,103268,104336,ea5bb873ea25400875ecd761222a8afa8764019fe0e64567b328285c080adb78
