record_id,wordpress_page_id,title,author,landing_page_url,reference_edition,period_bucket,input_role,final_broader_role,probe_decision,final_decision,resolution_reason,extraction_policy,canonical_reference_ids,removed_reference_ids,license_label,license_url,source_cache_path,source_sha256,source_character_count,retained_broader_character_count,excluded_source_character_count,sonnet_candidate_count,eligible_sonnet_count,protected_sonnet_count,activation_status,artifact_status,shard_path,byte_start,byte_end,cleaned_character_count,cleaned_byte_count,cleaned_sha256
ll:2423213,2423213,Pe' belli occhi della gloria,Salvatore Farina,https://liberliber.it/autori/autori-f/salvatore-farina/pe-belli-occhi-della-gloria/,"Pe' belli occhi della gloria : scene quasi vere / Salvatore Farina. - Milano : A. Brigola & C., stampa 1887. - VIII, 294 p. : ill. ; 19 cm",nineteenth_century,nineteenth_century_bridge,nineteenth_century_bridge,quality_pass_pending_extraction_audit,eligible_inactive_processed_build,quality_and_rights_gates_pass,preserve_probe_cleaned_primary_text,,,"Creative Commons ""Attribuzione - Non commerciale - Condividi allo stesso modo 4.0 Internazionale""",https://creativecommons.org/licenses/by-nc-sa/4.0/,data/local/liber_liber/fulltext_probe_v1/texts/ll_2423213.txt,be48246536993075ac7ccece68d4b27e7571c159c571cff0c51fe03c27a55b28,267044,267044,0,0,0,0,inactive_pending_cross_archive_freeze,text_materialized_inactive,data/processed/liber_liber_resolved_v1/nineteenth_century_bridge/part-0001.txt,16336597,16608191,267044,271594,be48246536993075ac7ccece68d4b27e7571c159c571cff0c51fe03c27a55b28
ll:2424248,2424248,Tenda e castello,Roberto Sacchetti,https://liberliber.it/autori/autori-s/roberto-sacchetti/tenda-e-castello/,"Tenda e castello / R. Sacchetti. - Milano : G. Brigola, 1878 - 269 p. ; 17 cm.",nineteenth_century,nineteenth_century_bridge,nineteenth_century_bridge,exclude_cross_corpus_duplicate_candidate,exclude_canonical_cross_corpus_duplicate,existing_corpus_has_canonical_complete_text,exclude_complete_source,gutenberg_previous_pool:pg71320;gutenberg_resolved:71320,gutenberg_previous_pool:pg71320;gutenberg_resolved:71320,"Creative Commons ""Attribuzione - Non commerciale - Condividi allo stesso modo 4.0 Internazionale""",https://creativecommons.org/licenses/by-nc-sa/4.0/,data/local/liber_liber/fulltext_probe_v1/texts/ll_2424248.txt,c3b1f05fe2cfff70361486b5089589db6b5dccbec1c3844a09178e8cd818ec93,283047,0,283047,0,0,0,inactive_pending_cross_archive_freeze,not_materialized_excluded_or_sonnet_only,,,,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
ll:2424764,2424764,L’ultima notte,Giustino Ferri,https://liberliber.it/autori/autori-f/giustino-ferri/lultima-notte/,"L’ultima notte / Leandro [i.e. Giustino L. Ferri]. - Roma: A. Sommaruga e C., 1884. - 259 p. ; 17 cm.",nineteenth_century,nineteenth_century_bridge,nineteenth_century_bridge,quality_pass_pending_extraction_audit,eligible_inactive_processed_build,quality_and_rights_gates_pass,preserve_probe_cleaned_primary_text,,,"Creative Commons ""Attribuzione - Non commerciale - Condividi allo stesso modo 4.0 Internazionale""",https://creativecommons.org/licenses/by-nc-sa/4.0/,data/local/liber_liber/fulltext_probe_v1/texts/ll_2424764.txt,0b80b1404804f753ac8519ccda417b90fc02f833e0840aea5e44a3c763ac7654,276162,276162,0,0,0,0,inactive_pending_cross_archive_freeze,text_materialized_inactive,data/processed/liber_liber_resolved_v1/nineteenth_century_bridge/part-0001.txt,16608192,16890213,276162,282021,0b80b1404804f753ac8519ccda417b90fc02f833e0840aea5e44a3c763ac7654
ll:2426443,2426443,La città dell'oro,Emilio Salgari,https://liberliber.it/autori/autori-s/emilio-salgari/la-citta-delloro/,"La città dell'oro : racconto / Emilio Salgari ; con 41 disegni di Antonio Bonamore e Gino De Bini. - Milano : Fratelli Treves, 1898. - 363 p. : ill. ; 25 cm",nineteenth_century,nineteenth_century_bridge,nineteenth_century_bridge,exclude_cross_corpus_duplicate_candidate,exclude_canonical_cross_corpus_duplicate,existing_corpus_has_canonical_complete_text,exclude_complete_source,wikisource_resolved:itws:578342,wikisource_resolved:itws:578342,"Creative Commons ""Attribuzione - Non commerciale - Condividi allo stesso modo 4.0 Internazionale""",https://creativecommons.org/licenses/by-nc-sa/4.0/,data/local/liber_liber/fulltext_probe_v1/texts/ll_2426443.txt,0ec7aa3e0901eb4208aee502ffd0aea504ba34142d9896f99d7ee08d1ed491a6,288632,0,288632,0,0,0,inactive_pending_cross_archive_freeze,not_materialized_excluded_or_sonnet_only,,,,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
ll:2427167,2427167,Il 1. libro dei trittici,Alessandro Varaldo,https://liberliber.it/autori/autori-v/alessandro-varaldo/il-1-libro-dei-trittici/,"Il 1. libro dei trittici / Alessandro Varaldo, Mario Malfettani, Alessandro Giribaldi. - Bordighera : tip. P. Gibelli, 1897. - 1 v. ; 8º.",nineteenth_century,standard_sonnets,standard_sonnets,quality_pass_pending_extraction_audit,eligible_sonnet_only_inactive_processed_build,39_explicitly_signed_fourteen_line_sonnets_isolated,materialize_verified_sonnets_only_exclude_preface_and_headings,,,"Creative Commons ""Attribuzione - Non commerciale - Condividi allo stesso modo 4.0 Internazionale""",https://creativecommons.org/licenses/by-nc-sa/4.0/,data/local/liber_liber/fulltext_probe_v1/texts/ll_2427167.txt,fe3499ad757eeda4c5dae96e8994435bfb99c90856f838094593f1acf9ae33f1,25760,0,25760,39,39,0,inactive_pending_cross_archive_freeze,not_materialized_excluded_or_sonnet_only,,,,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
ll:2427718,2427718,Racconti popolari,Pietro Thouar,https://liberliber.it/autori/autori-t/pietro-thouar/racconti-popolari/,"Racconti popolari / Pietro Thouar. - Nuova ed. illustrata da E. Mazzanti. - Firenze : F. Paggi, 1889. - 329, IV p., [5] c. di tav. : ill. ; 19 cm.",nineteenth_century,nineteenth_century_bridge,nineteenth_century_bridge,exclude_cross_corpus_duplicate_candidate,exclude_canonical_cross_corpus_duplicate,existing_corpus_has_canonical_complete_text,exclude_complete_source,gutenberg_previous_pool:pg71399;gutenberg_resolved:71399,gutenberg_previous_pool:pg71399;gutenberg_resolved:71399,"Creative Commons ""Attribuzione - Non commerciale - Condividi allo stesso modo 4.0 Internazionale""",https://creativecommons.org/licenses/by-nc-sa/4.0/,data/local/liber_liber/fulltext_probe_v1/texts/ll_2427718.txt,4e123c04d508d3a34d0dd472ed7cffae52adcf503dfd56072780bcce1b052f03,606759,0,606759,0,0,0,inactive_pending_cross_archive_freeze,not_materialized_excluded_or_sonnet_only,,,,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
ll:2427968,2427968,Scene e descrizioni illustrate,Luigia Codemo,https://liberliber.it/autori/autori-c/luigia-codemo/scene-e-descrizioni-illustrate/,"Scene e descrizioni illustrate / Luigia Codemo Gerstenbrand. - Venezia : Tip. del commercio di Marco Visentini, 1871. - VII, 194 p. : ill. ; 27 cm.",nineteenth_century,nineteenth_century_bridge,nineteenth_century_bridge,quality_pass_pending_extraction_audit,eligible_inactive_processed_build,quality_and_rights_gates_pass,preserve_probe_cleaned_primary_text,,,"Creative Commons ""Attribuzione - Non commerciale - Condividi allo stesso modo 4.0 Internazionale""",https://creativecommons.org/licenses/by-nc-sa/4.0/,data/local/liber_liber/fulltext_probe_v1/texts/ll_2427968.txt,091cb402298d8b739c2bb358852a7bf40a6a0948f5e328a91c232b06bb9740f0,451037,451037,0,0,0,0,inactive_pending_cross_archive_freeze,text_materialized_inactive,data/processed/liber_liber_resolved_v1/nineteenth_century_bridge/part-0001.txt,16890214,17354475,451037,464261,091cb402298d8b739c2bb358852a7bf40a6a0948f5e328a91c232b06bb9740f0
ll:2428273,2428273,Marzo,Giuseppe Aurelio Costanzo,https://liberliber.it/autori/autori-c/giuseppe-aurelio-costanzo/marzo/,"Marzo : 6. centenario del Vespro siciliano : canto / di G. Aurelio Costanzo. - Roma ; Palermo : stab. tip. italiano Perelli, 1882. - XV p. ; 17 cm.",nineteenth_century,historical_non_sonnet_poetry,historical_non_sonnet_poetry,quality_pass_pending_extraction_audit,eligible_inactive_processed_build,quality_and_rights_gates_pass,preserve_probe_cleaned_primary_text,,,"Creative Commons ""Attribuzione - Non commerciale - Condividi allo stesso modo 4.0 Internazionale""",https://creativecommons.org/licenses/by-nc-sa/4.0/,data/local/liber_liber/fulltext_probe_v1/texts/ll_2428273.txt,abe036e27b3fe34a1683b44de739d5f41a34096321ce17a39183f191a9c3bf64,7193,7193,0,0,0,0,inactive_pending_cross_archive_freeze,text_materialized_inactive,data/processed/liber_liber_resolved_v1/historical_non_sonnet_poetry/part-0001.txt,975626,982886,7193,7260,abe036e27b3fe34a1683b44de739d5f41a34096321ce17a39183f191a9c3bf64
ll:2428649,2428649,L'incantesimo,Enrico Annibale Butti,https://liberliber.it/autori/autori-b/enrico-annibale-butti/lincantesimo/,"L'incantesimo : romanzo / Enrico Annibale Butti - Milano : Fratelli Treves, 1897. - 380 p. ; 19 cm.",nineteenth_century,nineteenth_century_bridge,nineteenth_century_bridge,quality_pass_pending_extraction_audit,eligible_inactive_processed_build,quality_and_rights_gates_pass,preserve_probe_cleaned_primary_text,,,"Creative Commons ""Attribuzione - Non commerciale - Condividi allo stesso modo 4.0 Internazionale""",https://creativecommons.org/licenses/by-nc-sa/4.0/,data/local/liber_liber/fulltext_probe_v1/texts/ll_2428649.txt,1df6ff6ab8e3e246403e4207e0bb330e1fe3b240e75b5aa17e12bc6e6f70909d,554669,554669,0,0,0,0,inactive_pending_cross_archive_freeze,text_materialized_inactive,data/processed/liber_liber_resolved_v1/nineteenth_century_bridge/part-0001.txt,17354476,17915970,554669,561494,1df6ff6ab8e3e246403e4207e0bb330e1fe3b240e75b5aa17e12bc6e6f70909d
ll:2428858,2428858,La Vita nuova,Dante Alighieri,https://liberliber.it/autori/autori-a/dante-alighieri/vita-nuova-roux-e-viarengo-1903/,"La Vita nuova / di Dante ; con le illustrazioni di Dante Gabriele Rossetti. - Torino ; Roma : Roux e Viarengo, 1903. - 168 p., \11! c. di tav. : ill. ; 22 cm.",origins_through_1800,standard_sonnets,standard_sonnets,quarantine_protected_v6_segment_before_activation,exclude_alternate_vita_nuova_edition,canonical_liber_liber_edition_is_ll:2344213,exclude_alternate_source_edition,,ll:2344213,"Creative Commons ""Attribuzione - Non commerciale - Condividi allo stesso modo 4.0 Internazionale""",https://creativecommons.org/licenses/by-nc-sa/4.0/,data/local/liber_liber/fulltext_probe_v1/texts/ll_2428858.txt,f0073d3a0fab8419d857e90463d6cb6bfc93f097ec1ff4d49ff7a4134e433b35,126915,0,126915,0,0,0,inactive_pending_cross_archive_freeze,not_materialized_excluded_or_sonnet_only,,,,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
