work_root_id,root_title,source_archive,source_url,author_evidence,period_bucket,input_role,final_role,direct_scan_title,scan_rights_id,final_decision,resolution_reason,canonical_reference_ids,removed_reference_ids,rights_decision,activation_status,artifact_status,source_cache_path,source_sha256,source_character_count,retained_source_character_count,excluded_source_character_count,shard_path,byte_start,byte_end,cleaned_character_count,cleaned_byte_count,cleaned_sha256
itws:32157,Paralipomeni della Batracomiomachia,Italian Wikisource,https://it.wikisource.org/wiki/Paralipomeni_della_Batracomiomachia,Giacomo Leopardi,nineteenth_century,nineteenth_century_bridge,nineteenth_century_bridge,"Leopardi - Paralipomeni della Batracomiomachia, Baudry, 1842.djvu",itws-scan:448796,exclude_canonical_cross_corpus_duplicate,An already resolved project source contains this Wikisource root.,bibit:bibit000466,,rights_pass,inactive_pending_cross_archive_freeze,not_materialized_excluded_or_sonnet_only,data/local/wikisource/page_extraction_v1/root_texts/itws_32157.txt,efbc0eb8b6ef5658542cd25167ab2e32edc9aebf46dbc88aeefda7de87023c5a,112344,0,112344,,,,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
itws:32483,Nova polemica,Italian Wikisource,https://it.wikisource.org/wiki/Nova_polemica,Olindo Guerrini,nineteenth_century,nineteenth_century_bridge,nineteenth_century_bridge,Nova polemica.djvu,itws-scan:244494,exclude_quality_language_or_editorial_hold,"Non-removable quality, language-variety, transcription-gap, or editorial evidence remains.",,,rights_pass,inactive_pending_cross_archive_freeze,not_materialized_excluded_or_sonnet_only,data/local/wikisource/page_extraction_v1/root_texts/itws_32483.txt,f3687b46fbc6fe72847b369dc147b74945f8c2b5cc76b0ce08a90a0ed73e9e63,137637,0,137637,,,,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
itws:32713,Satire (Ariosto 1809),Italian Wikisource,https://it.wikisource.org/wiki/Satire_(Ariosto_1809),Ludovico Ariosto,origins_through_1800,historical_non_sonnet_poetry,historical_non_sonnet_poetry,"Ariosto - Satire, 1809.djvu",itws-scan:898296,exclude_unresolved_markup,Unknown markup may contain or corrupt primary text.,,,rights_pass,inactive_pending_cross_archive_freeze,not_materialized_excluded_or_sonnet_only,data/local/wikisource/page_extraction_v1/root_texts/itws_32713.txt,054afdf0c198ff20bb06142aca29722daca7d093bf90fbc3f4151bfe06782269,73238,0,73238,,,,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
itws:32850,Demetrio Pianelli,Italian Wikisource,https://it.wikisource.org/wiki/Demetrio_Pianelli,Emilio De Marchi,nineteenth_century,nineteenth_century_bridge,nineteenth_century_bridge,"De Marchi - Demetrio Pianelli, 1915.djvu",itws-scan:382276,exclude_quality_language_or_editorial_hold,"Non-removable quality, language-variety, transcription-gap, or editorial evidence remains.",,,rights_pass,inactive_pending_cross_archive_freeze,not_materialized_excluded_or_sonnet_only,data/local/wikisource/page_extraction_v1/root_texts/itws_32850.txt,12c52c2a7ef1d2c7b20d6a7d4c7bd2f91df828efefbaedf5ddfd11b86ebd86e0,594254,0,594254,,,,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
itws:32863,Orlando innamorato,Italian Wikisource,https://it.wikisource.org/wiki/Orlando_innamorato,Matteo Maria Boiardo,origins_through_1800,historical_non_sonnet_poetry,historical_non_sonnet_poetry,Boiardo - Orlando innamorato I.djvu,itws-scan:473011,exclude_unresolved_markup,Unknown markup may contain or corrupt primary text.,,,rights_pass,inactive_pending_cross_archive_freeze,not_materialized_excluded_or_sonnet_only,data/local/wikisource/page_extraction_v1/root_texts/itws_32863.txt,4947353651913ef1a73f343a9c7e25a6a2163fe999e19f21a17864043c34be78,1365089,0,1365089,,,,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
itws:32952,I capitoli,Italian Wikisource,https://it.wikisource.org/wiki/I_capitoli,Niccolò Machiavelli,origins_through_1800,historical_non_sonnet_poetry,historical_non_sonnet_poetry,Opere di Niccolò Machiavelli VI.djvu,itws-scan:305918,eligible_inactive_processed_build,"Rights, quality, canonicalization, and protected-material gates passed.",,,rights_pass,inactive_pending_cross_archive_freeze,text_materialized_inactive,data/local/wikisource/page_extraction_v1/root_texts/itws_32952.txt,6836691813192f54f2bf08990f266ac3608b6538fbb966d7fcd02b03ae574f1b,26761,26761,0,data/processed/italian_wikisource_resolved_v1/historical_non_sonnet_poetry/part-0001.txt,61759,89275,26762,27516,053f796110c6c898848f68aa9fb3c5120e9db94e91ba57bf2ae519bcd37810b1
itws:33111,Vita di Frate Ginepro,Italian Wikisource,https://it.wikisource.org/wiki/Vita_di_Frate_Ginepro,,origins_through_1800,historical_general,historical_general,Anonimo - I fioretti di Sancto Francesco.djvu,itws-scan:845925,eligible_inactive_processed_build,"Rights, quality, canonicalization, and protected-material gates passed.",,,rights_pass,inactive_pending_cross_archive_freeze,text_materialized_inactive,data/local/wikisource/page_extraction_v1/root_texts/itws_33111.txt,f27f049fe4601f583813025a6a26895deadcd2d9de128166a77ab9678c208819,33596,33596,0,data/processed/italian_wikisource_resolved_v1/historical_general/part-0001.txt,515031,549530,33597,34499,199c7a9beba22ac18af32dbbaa9f33dd7ce81204155d6946ff6910a6f9f02eef
itws:33138,Orlandino (Aretino),Italian Wikisource,https://it.wikisource.org/wiki/Orlandino_(Aretino),Pietro Aretino,origins_through_1800,historical_non_sonnet_poetry,historical_non_sonnet_poetry,Orlandino.djvu,itws-scan:257399,eligible_inactive_processed_build,"Rights, quality, canonicalization, and protected-material gates passed.",,,rights_pass,inactive_pending_cross_archive_freeze,text_materialized_inactive,data/local/wikisource/page_extraction_v1/root_texts/itws_33138.txt,6c03f7238380701d637dcede9f752b820943cb762c4479e873dd92c480aa016b,18589,18589,0,data/processed/italian_wikisource_resolved_v1/historical_non_sonnet_poetry/part-0001.txt,89276,108085,18590,18809,924f3a2ac351f9f3ea7902a4811a495d134cde39ee698f41ec48d149edc9d5af
itws:35724,Lettere (Alberti),Italian Wikisource,https://it.wikisource.org/wiki/Lettere_(Alberti),Leon Battista Alberti,origins_through_1800,historical_general,historical_general,"Alberti, Leon Battista – Opere volgari, Vol. III, 1973 – BEIC 1724974.djvu",itws-scan:550102,exclude_source_rights_unresolved,"Post-1930 edition names a curator, translator, or illustrator whose contribution needs separate rights evidence.",,,rights_hold_modern_edition_contributor,inactive_pending_cross_archive_freeze,not_materialized_excluded_or_sonnet_only,data/local/wikisource/page_extraction_v1/root_texts/itws_35724.txt,0610e6eee739ef9f35773b86228be6c2456495513dd6833a5dfafc83eb18d436,7459,0,7459,,,,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
itws:35766,De' matematici italiani anteriori all'invenzione della stampa,Italian Wikisource,https://it.wikisource.org/wiki/De'_matematici_italiani_anteriori_all'invenzione_della_stampa,Bartolomeo Veratti,nineteenth_century,nineteenth_century_bridge,nineteenth_century_bridge,De' matematici italiani anteriori all'invenzione della stampa.djvu,itws-scan:43477,exclude_quality_language_or_editorial_hold,"Non-removable quality, language-variety, transcription-gap, or editorial evidence remains.",,,rights_pass,inactive_pending_cross_archive_freeze,not_materialized_excluded_or_sonnet_only,data/local/wikisource/page_extraction_v1/root_texts/itws_35766.txt,a27990baaee1f1000ff7e33ad5d9a80c1c059929a3eac37c6ffb26607c8b13d7,135979,0,135979,,,,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
