left_unit_id,right_unit_id,pair_scope,left_containment,right_containment,matching_shingles,exact_normalized_text,preferred_unit_id,decision_effect
wikisource:record:itws:394823,bibit:sonnet:bibit000657:sonnet_0003,sonnet_cross_role,0.742268,0.818182,72,false,bibit:sonnet:bibit000657:sonnet_0003,segment_quarantine_7b
wikisource:record:itws:394825,bibit:sonnet:bibit000657:sonnet_0006,sonnet_cross_role,0.855769,0.908163,89,false,bibit:sonnet:bibit000657:sonnet_0006,exclude_role_mismatch
wikisource:record:itws:394827,bibit:sonnet:bibit000657:sonnet_0008,sonnet_cross_role,0.804124,0.838710,78,false,bibit:sonnet:bibit000657:sonnet_0008,exclude_role_mismatch
wikisource:record:itws:394828,bibit:sonnet:bibit000657:sonnet_0016,sonnet_cross_role,0.740000,0.804348,74,false,bibit:sonnet:bibit000657:sonnet_0016,segment_quarantine_7b
wikisource:record:itws:394831,bibit:sonnet:bibit000657:sonnet_0020,sonnet_cross_role,0.866667,0.919192,91,false,bibit:sonnet:bibit000657:sonnet_0020,exclude_role_mismatch
wikisource:record:itws:394834,bibit:sonnet:bibit000657:sonnet_0017,sonnet_cross_role,0.873950,0.928571,104,false,bibit:sonnet:bibit000657:sonnet_0017,exclude_role_mismatch
wikisource:record:itws:394861,bibit:sonnet:bibit000657:sonnet_0036,sonnet_cross_role,0.851064,0.909091,80,false,bibit:sonnet:bibit000657:sonnet_0036,exclude_role_mismatch
wikisource:record:itws:394870,bibit:sonnet:bibit000657:sonnet_0087,sonnet_cross_role,0.844037,0.920000,92,false,bibit:sonnet:bibit000657:sonnet_0087,exclude_role_mismatch
wikisource:record:itws:394881,bibit:sonnet:bibit000657:sonnet_0120,sonnet_cross_role,0.735294,0.833333,75,false,bibit:sonnet:bibit000657:sonnet_0120,segment_quarantine_7b
wikisource:record:itws:394883,bibit:sonnet:bibit000657:sonnet_0127,sonnet_cross_role,0.913462,0.989583,95,false,bibit:sonnet:bibit000657:sonnet_0127,exclude_role_mismatch
wikisource:record:itws:394897,bibit:sonnet:bibit000776:sonnet_0025,sonnet_cross_role,0.786408,0.852632,81,false,bibit:sonnet:bibit000776:sonnet_0025,segment_quarantine_7b
