work_root_id,root_title,metadata_decision,proposed_role,linking_page_count,linking_page_ids,scan_title,scan_url,scan_page_id,scan_revision_id,scan_touched_utc,scan_wikitext_bytes,scan_is_redirect,scan_exists_in_dump,scan_shared_root_count,scan_shared_candidate_count,scan_shared_conditioned_count,scan_shared_nonitalian_count,scan_shared_nonstandard_hold_count,scan_shared_existing_reference_count,scan_title_language_signals,activation_status
itws:394393,Da duo candidi margini diviso,historical_core_metadata_candidate,historical_general,1,394393,Marino Poesie varie (1913).djvu,https://it.wikisource.org/wiki/Indice:Marino_Poesie_varie_(1913).djvu,392611,3231199,2026-07-30T05:08:40Z,31429,False,True,319,238,0,0,0,0,,metadata_only_not_activated
itws:306607,Da Erode a Ppilato,nineteenth_century_bridge_metadata_candidate,standard_sonnets,1,306607,Sonetti romaneschi III.djvu,https://it.wikisource.org/wiki/Indice:Sonetti_romaneschi_III.djvu,305743,3842978,2026-07-30T22:32:14Z,35377,False,True,403,255,0,0,0,0,romanesco,metadata_only_not_activated
itws:746011,"Da Giuda in fuor, neuno sciagurato",historical_core_metadata_candidate,historical_non_sonnet_poetry,1,746011,"AA. VV. – Sonetti burleschi e realistici dei primi due secoli, Vol. I, 1920 – BEIC 1928288.djvu","https://it.wikisource.org/wiki/Indice:AA._VV._%E2%80%93_Sonetti_burleschi_e_realistici_dei_primi_due_secoli,_Vol._I,_1920_%E2%80%93_BEIC_1928288.djvu",600609,3867578,2026-07-30T19:02:00Z,5834,False,True,442,381,0,0,0,33,,metadata_only_not_activated
itws:307530,Da la matina se conossce er bon giorno,nineteenth_century_bridge_metadata_candidate,standard_sonnets,1,307530,Sonetti romaneschi VI.djvu,https://it.wikisource.org/wiki/Indice:Sonetti_romaneschi_VI.djvu,305746,3488083,2026-07-30T22:34:02Z,27618,False,True,310,165,0,0,0,0,romanesco,metadata_only_not_activated
itws:394882,Da le labra faconde,historical_core_metadata_candidate,historical_general,1,394882,Marino Poesie varie (1913).djvu,https://it.wikisource.org/wiki/Indice:Marino_Poesie_varie_(1913).djvu,392611,3231199,2026-07-30T05:08:40Z,31429,False,True,319,238,0,0,0,0,,metadata_only_not_activated
itws:483713,Da mille parti mi saetta Amore,historical_core_metadata_candidate,historical_general,1,483713,"Lorenzo de' Medici - Opere, vol.1, Laterza, 1913.djvu","https://it.wikisource.org/wiki/Indice:Lorenzo_de'_Medici_-_Opere,_vol.1,_Laterza,_1913.djvu",483359,3525005,2026-07-30T07:45:48Z,19422,False,True,127,126,0,0,0,0,,metadata_only_not_activated
itws:746904,Da po' ch'io foi ne la cittá del Tronto,historical_core_metadata_candidate,historical_non_sonnet_poetry,1,746904,"AA. VV. – Sonetti burleschi e realistici dei primi due secoli, Vol. II, 1920 – BEIC 1928827.djvu","https://it.wikisource.org/wiki/Indice:AA._VV._%E2%80%93_Sonetti_burleschi_e_realistici_dei_primi_due_secoli,_Vol._II,_1920_%E2%80%93_BEIC_1928827.djvu",600610,3867579,2026-07-30T19:04:00Z,13438,False,True,108,108,0,0,0,0,,metadata_only_not_activated
itws:745981,"Da po' t'è 'n grado, Becchina, ch'i' muoia",historical_core_metadata_candidate,historical_non_sonnet_poetry,1,745981,"AA. VV. – Sonetti burleschi e realistici dei primi due secoli, Vol. I, 1920 – BEIC 1928288.djvu","https://it.wikisource.org/wiki/Indice:AA._VV._%E2%80%93_Sonetti_burleschi_e_realistici_dei_primi_due_secoli,_Vol._I,_1920_%E2%80%93_BEIC_1928288.djvu",600609,3867578,2026-07-30T19:02:00Z,5834,False,True,442,381,0,0,0,33,,metadata_only_not_activated
itws:43794,Da poi che il mio bel Sol s'è fatto duce,historical_core_metadata_candidate,historical_non_sonnet_poetry,1,43794,"Zappi, Maratti - Rime I.pdf","https://it.wikisource.org/wiki/Indice:Zappi,_Maratti_-_Rime_I.pdf",482514,3500952,2026-07-30T17:23:17Z,2107,False,True,961,98,0,0,0,0,,metadata_only_not_activated
itws:301783,Da Quarto al Faro,nineteenth_century_bridge_metadata_candidate,nineteenth_century_bridge,3,301783 | 302577 | 302578,Da Quarto al Faro.djvu,https://it.wikisource.org/wiki/Indice:Da_Quarto_al_Faro.djvu,300202,2548553,2026-07-30T01:58:37Z,471,False,True,1,1,0,0,0,0,,metadata_only_not_activated
itws:845443,Da ricinte prigion di carta avvolta,historical_core_metadata_candidate,historical_non_sonnet_poetry,1,845443,AA. VV. - Lirici marinisti.djvu,https://it.wikisource.org/wiki/Indice:AA._VV._-_Lirici_marinisti.djvu,515484,2837511,2026-07-30T08:48:30Z,8794,False,True,583,173,0,0,0,0,,metadata_only_not_activated
itws:746082,"Da te parto 'l mie core, Ciampolino",historical_core_metadata_candidate,historical_non_sonnet_poetry,1,746082,"AA. VV. – Sonetti burleschi e realistici dei primi due secoli, Vol. I, 1920 – BEIC 1928288.djvu","https://it.wikisource.org/wiki/Indice:AA._VV._%E2%80%93_Sonetti_burleschi_e_realistici_dei_primi_due_secoli,_Vol._I,_1920_%E2%80%93_BEIC_1928288.djvu",600609,3867578,2026-07-30T19:02:00Z,5834,False,True,442,381,0,0,0,33,,metadata_only_not_activated
itws:826907,Da verde ramo in su fugace rio,historical_core_metadata_candidate,historical_non_sonnet_poetry,1,826907,The Oxford book of Italian verse.djvu,https://it.wikisource.org/wiki/Indice:The_Oxford_book_of_Italian_verse.djvu,241928,3574387,2026-07-30T05:55:01Z,43698,False,True,347,317,0,0,0,5,,metadata_only_not_activated
itws:876588,"Da' Campi Elisi, ove di gaudio intero",historical_core_metadata_candidate,historical_non_sonnet_poetry,1,876588,Opere (Chiabrera).djvu,https://it.wikisource.org/wiki/Indice:Opere_(Chiabrera).djvu,281096,3593337,2026-08-03T21:27:54Z,3340,False,True,574,531,0,0,0,0,,metadata_only_not_activated
itws:394943,Da' confini del mondo oscuri e bassi,historical_core_metadata_candidate,historical_general,1,394943,Marino Poesie varie (1913).djvu,https://it.wikisource.org/wiki/Indice:Marino_Poesie_varie_(1913).djvu,392611,3231199,2026-07-30T05:08:40Z,31429,False,True,319,238,0,0,0,0,,metadata_only_not_activated
itws:304047,Daghela avanti un passo,nineteenth_century_bridge_metadata_candidate,nineteenth_century_bridge,2,304047 | 963156,Daghela avanti un passo.djvu,https://it.wikisource.org/wiki/Indice:Daghela_avanti_un_passo.djvu,304039,3597446,2026-07-29T18:10:23Z,447,False,True,1,1,0,0,0,0,,metadata_only_not_activated
itws:847571,"Dagli Epigrammi (Alfieri, 1912)",historical_core_metadata_candidate,historical_non_sonnet_poetry,16,71348 | 847571 | 848183 | 848186 | 848189 | 848193 | 848197 | 848198 | 848201 | 848202 | 848206 | 848211 | 848220 | 848221 | 848222 | 848223,"Alfieri - Rime scelte, Sansoni, 1912.djvu","https://it.wikisource.org/wiki/Indice:Alfieri_-_Rime_scelte,_Sansoni,_1912.djvu",797530,3034871,2026-08-02T20:48:47Z,39517,False,True,8,3,0,0,0,1,,metadata_only_not_activated
itws:845072,Dai tenebrosi orrori,historical_core_metadata_candidate,historical_non_sonnet_poetry,1,845072,AA. VV. - Lirici marinisti.djvu,https://it.wikisource.org/wiki/Indice:AA._VV._-_Lirici_marinisti.djvu,515484,2837511,2026-07-30T08:48:30Z,8794,False,True,583,173,0,0,0,0,,metadata_only_not_activated
itws:742402,Dal 'Conte verde',nineteenth_century_bridge_metadata_candidate,nineteenth_century_bridge,1,742402,"Prati, Giovanni – Poesie varie, Vol. II, 1916 – BEIC 1901920.djvu","https://it.wikisource.org/wiki/Indice:Prati,_Giovanni_%E2%80%93_Poesie_varie,_Vol._II,_1916_%E2%80%93_BEIC_1901920.djvu",595890,3458149,2026-07-30T18:56:02Z,15223,False,True,188,169,0,0,0,0,,metadata_only_not_activated
itws:980227,"Dal breve canto ti riposa, o lira",historical_core_metadata_candidate,historical_non_sonnet_poetry,1,980227,"Sannazzaro, Iacopo – Opere volgari, 1961 – BEIC 1914951.djvu","https://it.wikisource.org/wiki/Indice:Sannazzaro,_Iacopo_%E2%80%93_Opere_volgari,_1961_%E2%80%93_BEIC_1914951.djvu",625974,3545111,2026-07-30T09:40:25Z,32765,False,True,153,142,0,0,0,1,,metadata_only_not_activated
