record_id,wordpress_page_id,title,author,landing_page_url,period_bucket,preliminary_role,metadata_decision,license_url,archive_format,download_page_url,archive_url,cache_status,archive_cache_path,cleaned_cache_path,archive_sha256,cleaned_sha256,raw_byte_count,cleaned_character_count,cleaned_word_count,nonempty_line_count,replacement_character_count,italian_function_word_ratio,alphabetic_character_ratio,digit_character_ratio,editorial_marker_count,editorial_markers,quality_review_flags,language_variety_flags,normalized_word_sha256,fingerprint_anchor_count,internal_exact_duplicate_ids,internal_near_duplicate_metrics,cross_corpus_overlap_metrics,cross_corpus_duplicate_scope,protected_v6_overlap_metrics,manual_review_resolution,manual_review_rationale,probe_status,probe_decision,activation_status,error
ll:2421341,2421341,Capelli biondi,Salvatore Farina,https://liberliber.it/autori/autori-f/salvatore-farina/capelli-biondi/,nineteenth_century,nineteenth_century_bridge,eligible_fulltext_probe_inactive,https://creativecommons.org/licenses/by-nc-sa/4.0/,odt,https://liberliber.it/opere/download/?op=2421341&type=opera_url_odt,https://www.liberliber.eu/mediateca/libri/f/farina/capelli_biondi/odt/farina_capelli_biondi.odt,hit,data/local/liber_liber/fulltext_probe_v1/archives/ll_2421341.odt,data/local/liber_liber/fulltext_probe_v1/texts/ll_2421341.txt,71a33ff037930e04d19db1810c4f71a50da3ff3d90f901fd8cd49cc2e33459fa,893b42740f62637dfa8a2a560b04f3823e323d6062436b4177455ba6ab8b1edd,702793,378491,63627,2619,0,0.261508,0.778330,0.000209,0,,,,d395a7751c745ff42fae93ddf94d90ffb8b49841b5881d1d96fcb9c3792d8ad3,59,,,,,,,,quality_pass,quality_pass_pending_extraction_audit,inactive_probe_only,
ll:2421356,2421356,Federico Lennois,Francesco Mastriani,https://liberliber.it/autori/autori-m/francesco-mastriani/federico-lennois/,nineteenth_century,nineteenth_century_bridge,eligible_fulltext_probe_inactive,https://creativecommons.org/licenses/by-nc-sa/4.0/,odt,https://liberliber.it/opere/download/?op=2421356&type=opera_url_odt,https://www.liberliber.eu/mediateca/libri/m/mastriani/federico_lennois/odt/mastriani_federico_lennois.odt,hit,data/local/liber_liber/fulltext_probe_v1/archives/ll_2421356.odt,data/local/liber_liber/fulltext_probe_v1/texts/ll_2421356.txt,1ac439ec81b33df8b0f6e9acefc0a5097ec1124f599f0a1a78e1de8075b5713c,a97690599d9e527ac590809bfb436fec1c07769ac04b70f667dc73e7d9cf2a87,767627,536748,89506,1808,0,0.272887,0.806952,0.000291,0,,,,a810a4d19e64398265da0ef72258edda90b018dc51a504194cc055e965bd1d3c,86,,,gutenberg_previous_pool:pg70127|candidate=0.999966|reference=0.995492;gutenberg_resolved:70127|candidate=0.999966|reference=0.995791,candidate_covered,,,,quality_pass,exclude_cross_corpus_duplicate_candidate,inactive_probe_only,
ll:2422536,2422536,Valsolda ; Poesia dispersa,Antonio Fogazzaro,https://liberliber.it/autori/autori-f/antonio-fogazzaro/valsolda-poesia-dispersa/,nineteenth_century,historical_non_sonnet_poetry,eligible_fulltext_probe_inactive,https://creativecommons.org/licenses/by-nc-sa/4.0/,odt,https://liberliber.it/opere/download/?op=2422536&type=opera_url_odt,https://www.liberliber.eu/mediateca/libri/f/fogazzaro/valsolda/odt/fogazzaro_valsolda.odt,hit,data/local/liber_liber/fulltext_probe_v1/archives/ll_2422536.odt,data/local/liber_liber/fulltext_probe_v1/texts/ll_2422536.txt,8b1bc97aa06a334b84df9de1ee0699a00d8270a302d034140fd97e27cd563517,3e9ea17fc0f0934747346445d14996b495f0d15483626b9cce46d9442229707c,643524,70998,12832,2204,0,0.231219,0.773853,0.000169,0,,,,8befd345848eff7257049e8893e6317efb6b00598ec7bc6184b1b3f4fcdf7fa6,7,,,,,,,,quality_pass,quality_pass_pending_extraction_audit,inactive_probe_only,
ll:2423213,2423213,Pe' belli occhi della gloria,Salvatore Farina,https://liberliber.it/autori/autori-f/salvatore-farina/pe-belli-occhi-della-gloria/,nineteenth_century,nineteenth_century_bridge,eligible_fulltext_probe_inactive,https://creativecommons.org/licenses/by-nc-sa/4.0/,odt,https://liberliber.it/opere/download/?op=2423213&type=opera_url_odt,https://www.liberliber.eu/mediateca/libri/f/farina/pe_belli_occhi_della_gloria/odt/farina_pe_belli_occhi_della_gloria.odt,hit,data/local/liber_liber/fulltext_probe_v1/archives/ll_2423213.odt,data/local/liber_liber/fulltext_probe_v1/texts/ll_2423213.txt,f5d9ba394c41563974fb5e2c0ba1ff613a363332a399cdc8169924b6283d6dfd,be48246536993075ac7ccece68d4b27e7571c159c571cff0c51fe03c27a55b28,655501,267044,45615,1850,0,0.266930,0.786822,0.000079,0,,,,e7ebbe85953db0ae9595ea9c3bd448930cb7a04e6357f83b5acbbfb7e3282ac0,56,,,,,,,,quality_pass,quality_pass_pending_extraction_audit,inactive_probe_only,
ll:2424248,2424248,Tenda e castello,Roberto Sacchetti,https://liberliber.it/autori/autori-s/roberto-sacchetti/tenda-e-castello/,nineteenth_century,nineteenth_century_bridge,eligible_fulltext_probe_inactive,https://creativecommons.org/licenses/by-nc-sa/4.0/,odt,https://liberliber.it/opere/download/?op=2424248&type=opera_url_odt,https://www.liberliber.eu/mediateca/libri/s/sacchetti_roberto/tenda_e_castello/odt/sacchetti_tenda_e_castello.odt,hit,data/local/liber_liber/fulltext_probe_v1/archives/ll_2424248.odt,data/local/liber_liber/fulltext_probe_v1/texts/ll_2424248.txt,10da5fe554ef46e2fa68f54877348677959527ea99a6e0cba0b302fed3e9b1b9,c3b1f05fe2cfff70361486b5089589db6b5dccbec1c3844a09178e8cd818ec93,681276,283047,46837,2184,0,0.264961,0.788950,0.000254,0,,,,d41f9b9f066381c91ec664f0e865023444a77a4efa90fb59971392d031b81c8f,41,,,gutenberg_previous_pool:pg71320|candidate=1.000000|reference=0.999296;gutenberg_resolved:71320|candidate=1.000000|reference=0.999957,candidate_covered,,,,quality_pass,exclude_cross_corpus_duplicate_candidate,inactive_probe_only,
ll:2424764,2424764,L’ultima notte,Giustino Ferri,https://liberliber.it/autori/autori-f/giustino-ferri/lultima-notte/,nineteenth_century,nineteenth_century_bridge,eligible_fulltext_probe_inactive,https://creativecommons.org/licenses/by-nc-sa/4.0/,odt,https://liberliber.it/opere/download/?op=2424764&type=opera_url_odt,https://www.liberliber.eu/mediateca/libri/f/ferri_giustino/l_ultima_notte/odt/ferri_l_ultima_notte.odt,hit,data/local/liber_liber/fulltext_probe_v1/archives/ll_2424764.odt,data/local/liber_liber/fulltext_probe_v1/texts/ll_2424764.txt,2ef30562183364983117b4279e3704a0b5bb62cc156517a1a5237d89d7d81533,0b80b1404804f753ac8519ccda417b90fc02f833e0840aea5e44a3c763ac7654,855641,276162,45637,1656,0,0.273638,0.796105,0.000000,0,,,,15a6b209f946b7b1d9dac28ff61ec29fba17e622dbff4cb706d68e4e62f98f9f,52,,,,,,,,quality_pass,quality_pass_pending_extraction_audit,inactive_probe_only,
ll:2426443,2426443,La città dell'oro,Emilio Salgari,https://liberliber.it/autori/autori-s/emilio-salgari/la-citta-delloro/,nineteenth_century,nineteenth_century_bridge,eligible_fulltext_probe_inactive,https://creativecommons.org/licenses/by-nc-sa/4.0/,odt,https://liberliber.it/opere/download/?op=2426443&type=opera_url_odt,https://www.liberliber.eu/mediateca/libri/s/salgari/la_citta_dell_oro/odt/salgari_la_citta_dell_oro.odt,hit,data/local/liber_liber/fulltext_probe_v1/archives/ll_2426443.odt,data/local/liber_liber/fulltext_probe_v1/texts/ll_2426443.txt,892a3d4a1dcfca9ca183fa1903b7e4d7da9044efb5030fcab3183f68c1d8c006,0ec7aa3e0901eb4208aee502ffd0aea504ba34142d9896f99d7ee08d1ed491a6,666612,288632,46267,2361,0,0.242614,0.793221,0.000146,0,,,,746a070d9dd7a35296a7ce4075cfc4bd1726d2af4cf09606be45a0292a0919be,51,,,wikisource_resolved:itws:578342|candidate=0.969756|reference=0.969987,candidate_covered,,,,quality_pass,exclude_cross_corpus_duplicate_candidate,inactive_probe_only,
ll:2427167,2427167,Il 1. libro dei trittici,Alessandro Varaldo,https://liberliber.it/autori/autori-v/alessandro-varaldo/il-1-libro-dei-trittici/,nineteenth_century,standard_sonnets,eligible_fulltext_probe_inactive,https://creativecommons.org/licenses/by-nc-sa/4.0/,odt,https://liberliber.it/opere/download/?op=2427167&type=opera_url_odt,https://www.liberliber.eu/mediateca/libri/v/varaldo/il_1_libro_dei_trittici/odt/varaldo_il_1_libro_dei_trittici.odt,hit,data/local/liber_liber/fulltext_probe_v1/archives/ll_2427167.odt,data/local/liber_liber/fulltext_probe_v1/texts/ll_2427167.txt,b431bec6fe92fed997abe998da435e9a7526e5ff19983936a54f8e984c46fcf9,fe3499ad757eeda4c5dae96e8994435bfb99c90856f838094593f1acf9ae33f1,427579,25760,4634,704,0,0.234571,0.794837,0.000194,0,,,,2f1df8e97859820c735ff1ffc28c87dd50bf96f020e415194ae150c0dd4721ba,3,,,,,,,,quality_pass,quality_pass_pending_extraction_audit,inactive_probe_only,
ll:2427718,2427718,Racconti popolari,Pietro Thouar,https://liberliber.it/autori/autori-t/pietro-thouar/racconti-popolari/,nineteenth_century,nineteenth_century_bridge,eligible_fulltext_probe_inactive,https://creativecommons.org/licenses/by-nc-sa/4.0/,odt,https://liberliber.it/opere/download/?op=2427718&type=opera_url_odt,https://www.liberliber.eu/mediateca/libri/t/thouar/racconti_popolari/odt/thouar_racconti_popolari.odt,hit,data/local/liber_liber/fulltext_probe_v1/archives/ll_2427718.odt,data/local/liber_liber/fulltext_probe_v1/texts/ll_2427718.txt,2cac319173ee51992f2ec7ef6f23d106bf88994246166dcf28eef239c90158aa,4e123c04d508d3a34d0dd472ed7cffae52adcf503dfd56072780bcce1b052f03,39669032,606759,103812,1760,0,0.275777,0.790820,0.000038,0,,,review_language_variety_marker,520ef553d55e2d009db859e59804b62479fb06fed93c9647987c0f14fbcbca92,99,,,gutenberg_previous_pool:pg71399|candidate=0.999431|reference=0.970578;gutenberg_resolved:71399|candidate=0.999431|reference=0.970723,candidate_covered,,accept_standard_tuscan_with_vocabulary_notes,"The editorial introduction says notes explain obsolete or Florentine-vernacular vocabulary; the primary historical Tuscan narratives remain suitable for the standard literary-Italian probe, with source notes retained.",review,exclude_cross_corpus_duplicate_candidate,inactive_probe_only,
ll:2427968,2427968,Scene e descrizioni illustrate,Luigia Codemo,https://liberliber.it/autori/autori-c/luigia-codemo/scene-e-descrizioni-illustrate/,nineteenth_century,nineteenth_century_bridge,eligible_fulltext_probe_inactive,https://creativecommons.org/licenses/by-nc-sa/4.0/,odt,https://liberliber.it/opere/download/?op=2427968&type=opera_url_odt,https://www.liberliber.eu/mediateca/libri/c/codemo/scene_e_descrizioni_illustrate/odt/codemo_scene_e_descrizioni_illustrate.odt,hit,data/local/liber_liber/fulltext_probe_v1/archives/ll_2427968.odt,data/local/liber_liber/fulltext_probe_v1/texts/ll_2427968.txt,7b8eacc1470ad0db15f7f556f851980f22bae626fa80a85365159f120625ce44,091cb402298d8b739c2bb358852a7bf40a6a0948f5e328a91c232b06bb9740f0,6687204,451037,76279,1506,0,0.264857,0.780457,0.000160,0,,,,7825f04c9b1dee113de84f58a0872667ffad2617666b3ae13aecc3cdaa9d7223,79,,,,,,,,quality_pass,quality_pass_pending_extraction_audit,inactive_probe_only,
