author_label_id,raw_author_label,canonical_author_key,author_group_id,representative_author_label,resolution_status,sonnet_universe_count,new_candidate_count,v6_presence,protected_v6_presence
author_label:aead7ed2921ddf51,Juan Antonio de Vizarrón y Eguiarreta,antonio eguiarreta juan vizarron y,author:7bd4e5f5ba7da2bf,Juan Antonio de Vizarrón y Eguiarreta,deterministic_resolved_author,1,1,false,false
author_label:1b227f1a9c25398e,Lacone Cromizio,cromizio lacone,author:f0f40e7b26ca8c90,Lacone Cromizio,deterministic_resolved_author,12,12,false,false
author_label:94c29280a104ab4b,"Lapaccini, Filippo",filippo lapaccini,author:77450fcf3ded6fd5,"Lapaccini, Filippo",deterministic_resolved_author,1,1,false,false
author_label:340bde3842c94a7b,Lapo Gianni,gianni lapo,author:f92d2d2417f9ed04,Lapo Gianni,deterministic_resolved_author,2,2,false,false
author_label:2526306f59e8d9f7,Laristo Carmoneo,carmoneo laristo,author:c2bfcb338afd17cd,Laristo Carmoneo,deterministic_resolved_author,4,4,false,false
author_label:8d00842e68989f70,Leandro Oresteo,leandro oresteo,author:c58070464c30e25c,Leandro Oresteo,deterministic_resolved_author,4,4,false,false
author_label:643ec0f8942d959d,Leonardo Quirini,leonardo quirini,author:3a9376db42263827,Leonardo Quirini,deterministic_resolved_author,4,4,false,false
author_label:87c7005027e139d4,Leonte Prineo,leonte prineo,author:39d34e3286f73ee6,Leonte Prineo,deterministic_resolved_author,13,13,false,false
author_label:a4c99b990baa4c5c,"Leopardi, Giacomo",giacomo leopardi,author:bed9ab4c3908d2c2,"Leopardi, Giacomo",deterministic_resolved_author,169,165,false,false
author_label:8b4c968085fcd168,"Leporeo, Ludovico",leporeo ludovico,author:46aac2a876c4b38f,"Leporeo, Ludovico",deterministic_resolved_author,249,249,false,false
author_label:bcb3c34d8d0d654a,Leucoto Gateate,gateate leucoto,author:98909a4b059a4cac,Leucoto Gateate,deterministic_resolved_author,4,4,false,false
author_label:5afece680718ac54,Leucride Ionide,ionide leucride,author:36902673b4e3e9d0,Leucride Ionide,deterministic_resolved_author,10,10,false,false
author_label:12181fdb1273c895,Licida Orcomenio,licida orcomenio,author:4b62205c53e875b9,Licida Orcomenio,deterministic_resolved_author,7,7,false,false
author_label:bf321b761162312f,Linco Telpusio,linco telpusio,author:614e46111ba04d7d,Linco Telpusio,deterministic_resolved_author,11,11,false,false
author_label:42ebe9eccf4ad81b,Lindoro Elateo,elateo lindoro,author:8c00377087729b49,Lindoro Elateo,deterministic_resolved_author,2,2,false,false
author_label:d88c8fa33e4821f4,Logisto Nemeo,logisto nemeo,author:da206f15a2b8528b,Logisto Nemeo,deterministic_resolved_author,16,16,false,false
