record_id,file_name,download_url,content_type,raw_byte_count,raw_sha256,cache_path,acquisition_status,error
ota_1099,teseide-1099.txt,https://llds.ling-phil.ox.ac.uk/llds/xmlui/bitstream/handle/20.500.14106/1099/teseide-1099.txt?sequence=5&isAllowed=y,text/plain,521952,fcc6e6c199aaef33b80d92137eaa825ef8e64da52215819718b16b4576e9e8bc,data/local/ilc_ota_source_audit_v1/payloads/ota_1099_002_teseide-1099.txt.bin,cached_verified,
ota_1100,boiardo-1100.txt,https://llds.ling-phil.ox.ac.uk/llds/xmlui/bitstream/handle/20.500.14106/1100/boiardo-1100.txt?sequence=4&isAllowed=y,text/plain,1375377,3651b320fc5c81cc008f178daf064c094564efdb6993768f2e9039a30973e746,data/local/ilc_ota_source_audit_v1/payloads/ota_1100_001_boiardo-1100.txt.bin,cached_verified,
ota_1100,boiardoc-1100.txt,https://llds.ling-phil.ox.ac.uk/llds/xmlui/bitstream/handle/20.500.14106/1100/boiardoc-1100.txt?sequence=5&isAllowed=y,text/plain,11810,88c153c0a69ea37650af4e7bfa554b1a3f4d8c0d9826e449f87763f6e29f9fe5,data/local/ilc_ota_source_audit_v1/payloads/ota_1100_002_boiardoc-1100.txt.bin,cached_verified,
ota_1120,bocac02-1120.txt,https://llds.ling-phil.ox.ac.uk/llds/xmlui/bitstream/handle/20.500.14106/1120/bocac02-1120.txt?sequence=4&isAllowed=y,text/plain,47736198,4d8e9059fd35e9decf9d00f549e5aa315d60f25d85570a4b138ab6c365fa8925,data/local/ilc_ota_source_audit_v1/payloads/ota_1120_001_bocac02-1120.txt.bin,cached_verified_no_extractable_primary_text,"unsupported, binary, or empty primary-text format"
ota_1120,bocac03-1120.txt,https://llds.ling-phil.ox.ac.uk/llds/xmlui/bitstream/handle/20.500.14106/1120/bocac03-1120.txt?sequence=5&isAllowed=y,text/plain,8123482,7cc8962f85d1a9762f9ae98c65a3015944a05a7f26fe2f8ffafc546fac1f7b87,data/local/ilc_ota_source_audit_v1/payloads/ota_1120_002_bocac03-1120.txt.bin,cached_verified_no_extractable_primary_text,"unsupported, binary, or empty primary-text format"
ota_1390,pulci-1390.txt,https://llds.ling-phil.ox.ac.uk/llds/xmlui/bitstream/handle/20.500.14106/1390/pulci-1390.txt?sequence=4&isAllowed=y,text/plain,1200906,f33a526ac0a87e9e47e1e2bd5fea70a0f8cd28c23380aa22be0b2063ce38f13e,data/local/ilc_ota_source_audit_v1/payloads/ota_1390_001_pulci-1390.txt.bin,cached_verified,
ota_1390,pulcidoc-1390.txt,https://llds.ling-phil.ox.ac.uk/llds/xmlui/bitstream/handle/20.500.14106/1390/pulcidoc-1390.txt?sequence=5&isAllowed=y,text/plain,9936,ec3850cb5ca2851821f6c79562856a9b0973d77affa64f31965ea887bab8e32f,data/local/ilc_ota_source_audit_v1/payloads/ota_1390_002_pulcidoc-1390.txt.bin,cached_verified,
ota_A06105,A06105.epub,https://llds.ling-phil.ox.ac.uk/llds/xmlui/bitstream/handle/20.500.14106/A06105/A06105.epub?sequence=4&isAllowed=y,application/epub+zip,19183,ad023cb1d1ff75de2ee854e2cb28c9b5a7ce1f9ffdc42615789b9eb1e8b5c9cd,data/local/ilc_ota_source_audit_v1/payloads/ota_A06105_001_A06105.epub.bin,cached_verified_redundant_representation,XML primary representation preferred over duplicate EPUB
ota_A06105,A06105.xml,https://llds.ling-phil.ox.ac.uk/llds/xmlui/bitstream/handle/20.500.14106/A06105/A06105.xml?sequence=6&isAllowed=y,text/xml,32202,9898a5fd6cf1f3cfc92cb6158312f77c812b493f27525ff20c08cf6b59d2b856,data/local/ilc_ota_source_audit_v1/payloads/ota_A06105_002_A06105.xml.bin,cached_verified,
ota_A07736,A07736.epub,https://llds.ling-phil.ox.ac.uk/llds/xmlui/bitstream/handle/20.500.14106/A07736/A07736.epub?sequence=4&isAllowed=y,application/epub+zip,43869,c9a79695cd2b394f91a66456256e8f035f96e66c1fed6ffd2739f7b602c79a32,data/local/ilc_ota_source_audit_v1/payloads/ota_A07736_001_A07736.epub.bin,cached_verified_redundant_representation,XML primary representation preferred over duplicate EPUB
