review_id,checkpoint_4b_decision,review_unit_type,work_root_count,projected_wikitext_bytes,work_root_ids,representative_root_titles,scan_titles,scan_title_language_signals,scan_group_conditioned_count,scan_group_nonitalian_count,scan_group_nonstandard_hold_count,review_status,required_action,activation_status
itws-4b-review-0028,hold_no_direct_scan_link,work_root,1,1264,itws:984116,Al mio calendario,,,0,0,0,unresolved_hold,Resolve the exact source scan or retain the work outside page-level extraction.,metadata_only_not_activated
itws-4b-review-0029,hold_no_direct_scan_link,work_root,1,11790,itws:216297,Al pianoforte,,,0,0,0,unresolved_hold,Resolve the exact source scan or retain the work outside page-level extraction.,metadata_only_not_activated
itws-4b-review-0030,hold_no_direct_scan_link,work_root,1,468235,itws:562648,Al Polo Nord,,,0,0,0,unresolved_hold,Resolve the exact source scan or retain the work outside page-level extraction.,metadata_only_not_activated
itws-4b-review-0031,hold_no_direct_scan_link,work_root,1,707,itws:3230,Al signor Francesco Hayez,,,0,0,0,unresolved_hold,Resolve the exact source scan or retain the work outside page-level extraction.,metadata_only_not_activated
itws-4b-review-0032,hold_no_direct_scan_link,work_root,1,1068,itws:352884,All'apparir del tramontar del sole,,,0,0,0,unresolved_hold,Resolve the exact source scan or retain the work outside page-level extraction.,metadata_only_not_activated
itws-4b-review-0033,hold_no_direct_scan_link,work_root,1,878,itws:797732,Alla libertà,,,0,0,0,unresolved_hold,Resolve the exact source scan or retain the work outside page-level extraction.,metadata_only_not_activated
itws-4b-review-0034,hold_no_direct_scan_link,work_root,1,609,itws:892357,Allor che ignuda,,,0,0,0,unresolved_hold,Resolve the exact source scan or retain the work outside page-level extraction.,metadata_only_not_activated
itws-4b-review-0035,hold_no_direct_scan_link,work_root,1,643,itws:63787,Altissimo glorioso Dio,,,0,0,0,unresolved_hold,Resolve the exact source scan or retain the work outside page-level extraction.,metadata_only_not_activated
itws-4b-review-0036,hold_no_direct_scan_link,work_root,1,612,itws:31891,Altra mercè giamai,,,0,0,0,unresolved_hold,Resolve the exact source scan or retain the work outside page-level extraction.,metadata_only_not_activated
itws-4b-review-0037,hold_no_direct_scan_link,work_root,1,2284,itws:36213,Amando con fin core e co speranza,,,0,0,0,unresolved_hold,Resolve the exact source scan or retain the work outside page-level extraction.,metadata_only_not_activated
