object_id,title,authors,assigned_role,audited_route,source_audit_status,source_audit_flags,decision,final_role,cleaning_policy,included_characters,duplicate_of_object_id,reason,landing_page_url,tei_sha256
bibit000202,Vita scritta da lui medesimo,"Giannone, Pietro",historical_general,historical_general,review_required,note_multilingual_metadata;review_editorial_brackets,activate_core_with_bracket_cleanup,historical_general,strip_editorial_square_delimiters_and_labels,659026,,retain supplied historical text while removing editorial bracket notation,http://www.bibliotecaitaliana.it/scheda/bibit000202,3956fdd5983b8bced0ae132f5c4255927546d984c6ded736349035efcf4023ce
bibit000727,Della reppubblica de' Viniziani,"Giannotti, Donato",historical_general,historical_general,activation_candidate,note_multilingual_metadata,activate_core,historical_general,preserve_rendered_tei_text,305646,,passed canonical TEI role audit,http://www.bibliotecaitaliana.it/scheda/bibit000727,037adea578cfafdc3b5a5e49bada8e332cf3bc126d0c32b10e4c1915aabff0e3
bibit000955,La Dirindina,"Gigli, Girolamo",historical_general,historical_general,activation_candidate,,activate_core,historical_general,preserve_rendered_tei_text,12244,,passed canonical TEI role audit,http://www.bibliotecaitaliana.it/scheda/bibit000955,c0b4d3454da5250622a8ca3c65031497d948407ec78c131ee8902bbc86d0e7c2
bibit000774,Arbitrato,Giovanni di Bertazzo Montolini,historical_general,historical_general,activation_candidate,note_multilingual_metadata,activate_core,historical_general,preserve_rendered_tei_text,19833,,passed canonical TEI role audit,http://www.bibliotecaitaliana.it/scheda/bibit000774,cf97fa929ddd2483046059bfc2ead0e084f1ff3ce6b7283afee9cc2198e76e78
bibit000224,Dialogo dell'imprese militari e amorose,"Giovio, Paolo",historical_general,historical_general,activation_candidate,note_multilingual_metadata,activate_core,historical_general,preserve_rendered_tei_text,137335,,passed canonical TEI role audit,http://www.bibliotecaitaliana.it/scheda/bibit000224,1da51d3ec16621d558b34362f04d9f588d93f5ef60051d31a1bd920a09a39067
bibit000067,Carteggio,"Giraldi Cinzio, Giambattista",historical_general,historical_general,review_required,note_multilingual_metadata;review_editorial_brackets,activate_core_with_bracket_cleanup,historical_general,strip_editorial_square_delimiters_and_labels,634868,,retain supplied historical text while removing editorial bracket notation,http://www.bibliotecaitaliana.it/scheda/bibit000067,95748b3963a8fa9150c881e162e33cfbd90d5252b9001bf9861a3a83572bcd57
bibit001040,Cleopatra,"Giraldi Cinzio, Giambattista",historical_general,historical_general,activation_candidate,,activate_core,historical_general,preserve_rendered_tei_text,118794,,passed canonical TEI role audit,http://www.bibliotecaitaliana.it/scheda/bibit001040,9af600047ddfef53e0d0a839018e366f674079b2307f4f8ac14323f328634e2d
bibit000550,Dedica all'Orbecche,"Giraldi Cinzio, Giambattista",historical_general,historical_general,activation_candidate,,activate_core,historical_general,preserve_rendered_tei_text,4896,,passed canonical TEI role audit,http://www.bibliotecaitaliana.it/scheda/bibit000550,4360322ecb2a1c8dd51b77b7deac50db79d299099bd7291b205b5cf60aca9dd5
bibit001234,Egle,"Giraldi Cinzio, Giambattista",historical_general,historical_general,activation_candidate,note_multilingual_metadata,activate_core,historical_general,preserve_rendered_tei_text,86916,,passed canonical TEI role audit,http://www.bibliotecaitaliana.it/scheda/bibit001234,c0c24278a721f9848f1e741ce7977f4675ecf116bfd41e77136f90f4ac668a65
bibit000675,Egle (Editio Princeps),"Giraldi Cinzio, Giambattista",historical_general,historical_general,activation_candidate,,activate_core,historical_general,preserve_rendered_tei_text,91460,,passed canonical TEI role audit,http://www.bibliotecaitaliana.it/scheda/bibit000675,b430409956d73ab67ea56dc5ad6194da5004f85a97ea0441d962fb969c80999a
bibit001456,"Egle, ms. Classe I 331","Giraldi Cinzio, Giambattista",historical_general,historical_general,review_required,review_missing_source_edition,exclude_missing_source_provenance,excluded,preserve_rendered_tei_text,0,,TEI lacks both a printed source title and source identifier,http://www.bibliotecaitaliana.it/scheda/bibit001456,117928efd24904b8069cc8885264afcebb11c51b4c7331ef970b07138c22e3d5
bibit001160,Epistola latina,"Giraldi Cinzio, Giambattista",historical_general,historical_general,activation_candidate,note_multilingual_metadata,activate_core,historical_general,preserve_rendered_tei_text,17969,,passed canonical TEI role audit,http://www.bibliotecaitaliana.it/scheda/bibit001160,370e9ae73f75aad9fe577a9283d0729e55528b47a61f068031a1cb3e1c2fcce3
bibit000295,Giudizio d'una tragedia di Canace e Macareo,"Giraldi Cinzio, Giambattista",historical_general,historical_general,activation_candidate,note_multilingual_metadata,activate_core,historical_general,preserve_rendered_tei_text,157050,,passed canonical TEI role audit,http://www.bibliotecaitaliana.it/scheda/bibit000295,4743b88fb3c81094cca921d882c790cae002aa95ab7b247c9f3772ea38e0ffc1
bibit000427,Gli Eudemoni,"Giraldi Cinzio, Giambattista",historical_general,historical_general,activation_candidate,note_multilingual_metadata,activate_core,historical_general,preserve_rendered_tei_text,68516,,passed canonical TEI role audit,http://www.bibliotecaitaliana.it/scheda/bibit000427,d200ce4b325307bd7a42cc62203932cb572ac6aa34c81e81d3520745c7e4822f
bibit001665,L'uomo di corte: discorso intorno a quello che si conviene a giovane nobile e ben creato nel servire un gran principe,"Giraldi Cinzio, Giambattista",historical_general,historical_general,activation_candidate,note_multilingual_metadata,activate_core,historical_general,preserve_rendered_tei_text,183979,,passed canonical TEI role audit,http://www.bibliotecaitaliana.it/scheda/bibit001665,10254aae1aadd029e510e5f4605b81cc5c328d5ae31ede01e9701e7bd9133617
