range_id,review_id,unit_id,reference_id,review_type,source_sha256,reference_sha256,localization_method,reference_token_count,matched_reference_token_count,reference_coverage,source_token_start,source_token_end,character_start,character_end,removed_character_count,removed_sha256,line_expanded,range_decision,verification_status
review:wikisource:record:itws:826718:bibit:sonnet:bibit001172:structural_0325:occurrence_01,review:wikisource:record:itws:826718:bibit:sonnet:bibit001172:structural_0325,wikisource:record:itws:826718,bibit:sonnet:bibit001172:structural_0325,sonnet_segment_quarantine,3ab9d4e723262d77605c5f12d183fe6d13ebf71bad6d39c8ecd3eaddfd8080a7,0ce765c01c40269573931d48918bec7b935c68c4a81c83dd9df43f5eeb02c26f,contiguous_shingle_window_alignment,94,93,0.989362,502,597,2641,3145,504,234fe5b9f9da4e0a08a0714f7b10570c7667e81e355c6e5cb49d2014db9b137c,true,remove_verified_occurrence,residual_reference_below_threshold
review:wikisource:record:itws:826728:bibit:sonnet:bibit000949:sonnet_0007:whole_unit_excluded,review:wikisource:record:itws:826728:bibit:sonnet:bibit000949:sonnet_0007,wikisource:record:itws:826728,bibit:sonnet:bibit000949:sonnet_0007,sonnet_segment_quarantine,ea6e74cbbaf12e27054d30eb530614bf2056aa8e5b8b9c7513d3e0326a7de30f,,not_required_whole_unit_excluded,,,,,,,,546,ea6e74cbbaf12e27054d30eb530614bf2056aa8e5b8b9c7513d3e0326a7de30f,false,exclude_whole_unit_by_7a_decision,duplicate_representation_not_materialized
review:wikisource:record:itws:826919:bibit:sonnet:bibit000099:sonnet_0393:whole_unit_excluded,review:wikisource:record:itws:826919:bibit:sonnet:bibit000099:sonnet_0393,wikisource:record:itws:826919,bibit:sonnet:bibit000099:sonnet_0393,sonnet_segment_quarantine,6e8992a680ffc772da500573c83d6b00b71a12c181b7647e4d0fe937604c28ad,,not_required_whole_unit_excluded,,,,,,,,535,6e8992a680ffc772da500573c83d6b00b71a12c181b7647e4d0fe937604c28ad,false,exclude_whole_unit_by_7a_decision,duplicate_representation_not_materialized
review:wikisource:record:itws:826944:wikisource:sonnet:itws:976431:sonnet0001:occurrence_01,review:wikisource:record:itws:826944:wikisource:sonnet:itws:976431:sonnet0001,wikisource:record:itws:826944,wikisource:sonnet:itws:976431:sonnet0001,sonnet_segment_quarantine,f64b83d548ea565d0d4d69947da4d360ea0257875d7f43f76f7e148ad3c7d8b3,54421af36104107f7e0c343044fc27225a932b1999d6de33a9928c2f62a4d8be,contiguous_shingle_window_alignment,88,87,0.988636,800,888,4102,4568,466,b8c30a3542f97fad599f978e3358441b3380a76d2299ae6244d4f4c013f305a2,true,remove_verified_occurrence,residual_reference_below_threshold
review:wikisource:record:itws:826952:wikisource:sonnet:itws:987480:sonnet0001:occurrence_01,review:wikisource:record:itws:826952:wikisource:sonnet:itws:987480:sonnet0001,wikisource:record:itws:826952,wikisource:sonnet:itws:987480:sonnet0001,sonnet_segment_quarantine,cdaa8f124a4ca71af86c7bffbf585b235c0bd0e5de46476423a8287f48380a1f,1db93065edb4514ffb3fca897a6a4de98a043c51f5fa47a05649d256933b9983,contiguous_shingle_window_alignment,87,87,1.000000,582,669,3163,3622,459,533bfbd9206b085189da555d8b5426e8b5aa33bddade44103e723dfa1691fa18,true,remove_verified_occurrence,residual_reference_below_threshold
review:wikisource:record:itws:827086:bibit:sonnet:bibit001111:sonnet_0010:occurrence_01,review:wikisource:record:itws:827086:bibit:sonnet:bibit001111:sonnet_0010,wikisource:record:itws:827086,bibit:sonnet:bibit001111:sonnet_0010,sonnet_segment_quarantine,a7c1879f4dc8cdd982a69fa33540d97ae0d1393698ec7c9f990cfe81f0d5202a,54878b594ca9a6890b90830abdac3b18ddcb236e37ab7ae2424653516c976c82,contiguous_shingle_window_alignment,113,110,0.973451,10,122,78,610,532,daadbe53d0439ec81b8bda4ad1fe01c9f82cf211e3f54c289cff6b83d1d8c66f,true,remove_verified_occurrence,residual_reference_below_threshold
review:wikisource:record:itws:82994:v6:sonnet:cecco_xi_e_m_è_sì_malamente_rincresciuto:occurrence_01,review:wikisource:record:itws:82994:v6:sonnet:cecco_xi_e_m_è_sì_malamente_rincresciuto,wikisource:record:itws:82994,v6:sonnet:cecco_xi_e_m_è_sì_malamente_rincresciuto,sonnet_segment_quarantine,490b291eedd055be3a6c7db037aad22f054ed16ba73b1f67b48edc12b01f5bc5,c4e2b49d58f465d6ab86e16012f2fb54d42a5987d3873ba17d933fc43e7ee669,contiguous_shingle_window_alignment,106,104,0.981132,23,129,131,630,499,3b23f31fd9841e31dc01c3e7d48e2d1b4a43c5cbcb46fbb9b501ca6eb6233213,true,remove_verified_occurrence,residual_reference_below_threshold
review:wikisource:record:itws:838040:wikisource:sonnet:itws:827018:sonnet0001:occurrence_01,review:wikisource:record:itws:838040:wikisource:sonnet:itws:827018:sonnet0001,wikisource:record:itws:838040,wikisource:sonnet:itws:827018:sonnet0001,sonnet_segment_quarantine,8e45355c0ccbaed7fe63d76aec2ea37f974fbee605a753e78d67dbf55c445462,15a477a75c700c49f106cabb12b26c6cb500370b0eda5b26f5188887125555bd,contiguous_shingle_window_alignment,105,104,0.990476,1248,1354,7339,7896,557,ca495908d2d98a55b05e9384b53515ee6f3a150280d82474ac828f73a4586d62,true,remove_verified_occurrence,residual_reference_below_threshold
review:wikisource:record:itws:882555:bibit:sonnet:bibit000364:sonnet_0075:whole_unit_excluded,review:wikisource:record:itws:882555:bibit:sonnet:bibit000364:sonnet_0075,wikisource:record:itws:882555,bibit:sonnet:bibit000364:sonnet_0075,sonnet_segment_quarantine,7ed5f3a2e3fc359f9bd1901dd0bdc4a5e122530a90b9226dd23c242fb09ef64b,,not_required_whole_unit_excluded,,,,,,,,564,7ed5f3a2e3fc359f9bd1901dd0bdc4a5e122530a90b9226dd23c242fb09ef64b,false,exclude_whole_unit_by_7a_decision,duplicate_representation_not_materialized
review:wikisource:record:itws:970093:bibit:sonnet:bibit000807:structural_0085:occurrence_01,review:wikisource:record:itws:970093:bibit:sonnet:bibit000807:structural_0085,wikisource:record:itws:970093,bibit:sonnet:bibit000807:structural_0085,sonnet_segment_quarantine,b0efec92ee7f1809deb1106533e233194bd14e76b2681cc122ba010275e7fa6a,e8fe980d1a880a2e5b95ef7dd8c33619e02029c8e20e700ebebfb679b217ae52,contiguous_shingle_window_alignment,64,64,1.000000,295,360,1581,1902,321,d83e1ce8c4b9aa273d41b1905e90664282322b8aee974662ab9b5c2e4b6470a2,true,remove_verified_occurrence,residual_reference_below_threshold
