ebook_id,title,authors,preliminary_role,period_bucket,inventory_status,landing_page_url,fetched_url,cache_status,probe_status,error,raw_character_count,cleaned_character_count,cleaned_word_count,nonempty_line_count,replacement_character_count,italian_function_word_ratio,alphabetic_character_ratio,digit_character_ratio,editorial_marker_count,editorial_markers,quality_review_flags,language_variety_flags,normalized_word_sha256,fingerprint_anchor_count,possible_existing_work_matches,metadata_intra_gutenberg_duplicate_ids,intra_gutenberg_exact_duplicate_ids,intra_gutenberg_near_duplicate_metrics,bibit_overlap_metrics,current_corpus_overlap_metrics,cross_corpus_duplicate_scope,heldout_sonnet_overlap_metrics,manual_review_resolution,manual_review_rationale,probe_decision
70127,Federico Lennois : $b romanzo,"Mastriani, Francesco",nineteenth_century_bridge_candidate,nineteenth_century_bridge,audit_then_deduplicate,https://www.gutenberg.org/ebooks/70127,https://www.gutenberg.org/ebooks/70127.txt.utf-8,hit,quality_pass,,563373,543936,89909,8753,0,0.272731,0.799886,0.000517,1,editor_note:1,,,0267d31d2988270ad774607ea41f2654e9aad15e1e99adf61ac83a9d753cb767,86,,,,,,,,,,,quality_pass_pending_editorial_activation_review
70208,La vendetta di Zoe : $b Aristocrazia I,"Bersezio, Vittorio",nineteenth_century_bridge_candidate,nineteenth_century_bridge,audit_then_deduplicate,https://www.gutenberg.org/ebooks/70208,https://www.gutenberg.org/ebooks/70208.txt.utf-8,hit,quality_pass,,702515,683033,113235,11420,0,0.268733,0.787183,6.9e-05,1,editor_note:1,,,3b8ac42e5280ae6b985d1fd5e57544fc3f4a8afde01e372dabe1c79886626784,120,,,,,,,,,,,quality_pass_pending_editorial_activation_review
70335,La peste di Milano del 1630,"Ripamonti, Giuseppe",historical_general_candidate,origins_through_1800,audit_then_deduplicate,https://www.gutenberg.org/ebooks/70335,https://www.gutenberg.org/ebooks/70335.txt.utf-8,hit,quality_pass,,690666,671142,105734,10513,0,0.248813,0.792211,0.005184,1,editor_note:1,,,9026e4beb791dfb0b35c9601b7f3b1f49bc8828894d561cc2a27d6c8a5ae959e,104,,,,,,,,,,,quality_pass_pending_editorial_activation_review
70376,Il segreto di Matteo Arpione : $b Aristocrazia II,"Bersezio, Vittorio",nineteenth_century_bridge_candidate,nineteenth_century_bridge,audit_then_deduplicate,https://www.gutenberg.org/ebooks/70376,https://www.gutenberg.org/ebooks/70376.txt.utf-8,hit,quality_pass,,500532,481008,79326,7925,0,0.263596,0.787548,0.000148,1,editor_note:1,,,1ed661d2e73dea9c4f481667b1285840b827461b61bff87862e1f7ee704842cf,67,,,,,,,,,,,quality_pass_pending_editorial_activation_review
70722,"Storia degli Italiani, vol. 09 (di 15)","Cantù, Cesare",nineteenth_century_bridge_candidate,nineteenth_century_bridge,audit_then_deduplicate,https://www.gutenberg.org/ebooks/70722,https://www.gutenberg.org/ebooks/70722.txt.utf-8,hit,quality_pass,,1110835,1091286,174820,16684,0,0.253632,0.799459,0.00475,1,editor_note:1,,,182ba8aca3ecf7dc43d62a17f6916c0da10c4a64bc67aca749e95e8eadfccf9c,185,,,,,,,,,,,quality_pass_pending_editorial_activation_review
70898,"Storia degli Italiani, vol. 10 (di 15)","Cantù, Cesare",nineteenth_century_bridge_candidate,nineteenth_century_bridge,audit_then_deduplicate,https://www.gutenberg.org/ebooks/70898,https://www.gutenberg.org/ebooks/70898.txt.utf-8,hit,quality_pass,,1150394,1130846,179533,17263,0,0.250851,0.800098,0.005757,1,editor_note:1,,,6eff7084fc71255d1144537bcd03737b61902a54b8ea7145b64708c94c4b33e5,182,,,,,,,,,,,quality_pass_pending_editorial_activation_review
70925,Candaule,"Sacchetti, Roberto",nineteenth_century_bridge_candidate,nineteenth_century_bridge,audit_then_deduplicate,https://www.gutenberg.org/ebooks/70925,https://www.gutenberg.org/ebooks/70925.txt.utf-8,hit,quality_pass,,342295,322857,52632,5918,0,0.263604,0.786072,4.3e-05,1,editor_note:1,,,972a21dd88b67831c9f441c1cd3ec765fd8d340aba1ca5f55603b72244aff53c,54,,,,,,,,,,,quality_pass_pending_editorial_activation_review
71115,"Storia degli Italiani, vol. 11 (di 15)","Cantù, Cesare",nineteenth_century_bridge_candidate,nineteenth_century_bridge,audit_then_deduplicate,https://www.gutenberg.org/ebooks/71115,https://www.gutenberg.org/ebooks/71115.txt.utf-8,hit,quality_pass,,1218894,1199344,189532,18309,0,0.253292,0.797906,0.006322,1,editor_note:1,,,01ce96c1d174dc9a4768990252f6be6c5ef517d23793595c0a0b77bd93392daa,191,,,,,,,,,,,quality_pass_pending_editorial_activation_review
71290,"Storia degli Italiani, vol. 12 (di 15)","Cantù, Cesare",nineteenth_century_bridge_candidate,nineteenth_century_bridge,audit_then_deduplicate,https://www.gutenberg.org/ebooks/71290,https://www.gutenberg.org/ebooks/71290.txt.utf-8,hit,quality_pass,,1230999,1211448,189566,18455,0,0.246906,0.803453,0.005644,1,editor_note:1,,,02e9eb3fc7d55d3910e6a17cc7bab624b9ee06e1e0eb796c926fbee005da322c,191,,,,,,,,,,,quality_pass_pending_editorial_activation_review
71295,Le lotte di classe in Francia dal 1848 al 1850,"Marx, Karl",nineteenth_century_bridge_candidate,nineteenth_century_bridge,audit_then_deduplicate,https://www.gutenberg.org/ebooks/71295,https://www.gutenberg.org/ebooks/71295.txt.utf-8,hit,quality_pass,,325792,306191,45668,4644,0,0.244942,0.817068,0.005043,1,editor_note:1,,,5e6a24774e2f024c6bb110932af9c68150fdb06387fa00b752181dcc429a3242,55,,,,,,,,,,,quality_pass_pending_editorial_activation_review
