ebook_id,title,authors,preliminary_role,period_bucket,inventory_status,resolution_pass,final_period_bucket,final_role,metadata_final_decision,final_resolution_status,final_activation_class,landing_page_url,fetched_url,cache_status,probe_status,error,raw_character_count,cleaned_character_count,cleaned_word_count,nonempty_line_count,replacement_character_count,italian_function_word_ratio,alphabetic_character_ratio,digit_character_ratio,editorial_marker_count,editorial_markers,quality_review_flags,language_variety_flags,normalized_word_sha256,fingerprint_anchor_count,possible_existing_work_matches,metadata_intra_gutenberg_duplicate_ids,intra_gutenberg_exact_duplicate_ids,intra_gutenberg_near_duplicate_metrics,prior_gutenberg_overlap_metrics,prior_gutenberg_duplicate_scope,bibit_overlap_metrics,current_corpus_overlap_metrics,cross_corpus_duplicate_scope,heldout_sonnet_overlap_metrics,manual_review_resolution,manual_review_rationale,probe_decision
28869,Novelle e riviste drammatiche,"Boito, Arrigo",date_and_role_review,author_died_after_1900_review,review_work_publication_date,pass_1b,nineteenth_century_bridge,nineteenth_century_bridge_candidate,eligible_nineteenth_century_candidate,pass_1b_authoritative_resolved,eligible_probe,https://www.gutenberg.org/ebooks/28869,https://www.gutenberg.org/ebooks/28869.txt.utf-8,hit,quality_pass,,326550,306919,50310,4938,0,0.237249,0.791629,0.001587,1,editor_note:1,,,6733ba225fc26e6b4a58128c360fff7f9df73efb720eb5837536804bd8fef6c7,46,,,,,,,,,,,,,quality_pass_pending_editorial_activation_review
28910,Mater dolorosa,"Rovetta, Gerolamo",date_and_role_review,author_died_after_1900_review,review_work_publication_date,pass_1b,nineteenth_century_bridge,nineteenth_century_bridge_candidate,eligible_nineteenth_century_candidate,pass_1b_authoritative_resolved,eligible_probe,https://www.gutenberg.org/ebooks/28910,https://www.gutenberg.org/ebooks/28910.txt.utf-8,hit,quality_pass,,806373,786907,129420,12734,0,0.275684,0.7883,5.8e-05,0,,,,bcf47436fd4925599517e92245ca747b6de1e32529280baead89fb8e3e65c260,128,,,,,,,,,,,,,quality_pass_pending_editorial_activation_review
29037,Baby,"Rovetta, Gerolamo",date_and_role_review,author_died_after_1900_review,review_work_publication_date,pass_1b,nineteenth_century_bridge,nineteenth_century_bridge_candidate,eligible_nineteenth_century_candidate,pass_1b_authoritative_resolved,eligible_probe,https://www.gutenberg.org/ebooks/29037,https://www.gutenberg.org/ebooks/29037.txt.utf-8,hit,quality_pass,,163093,143725,23557,2363,0,0.277922,0.786864,5.6e-05,1,editor_note:1,,review_language_variety_marker,7d1bd3585038580a46a5afe570030aa16e2cfdca4a40a945d4f3888d07a39396,26,,,,,,,,,,,accept_standard_italian_context,The Venetian-dialect phrase names another play in the author's front-matter bibliography; the primary novel is standard Italian.,quality_pass_pending_editorial_activation_review
29845,"I rossi e i neri, vol. 1","Barrili, Anton Giulio",date_and_role_review,author_died_after_1900_review,review_work_publication_date,pass_1b,nineteenth_century_bridge,nineteenth_century_bridge_candidate,eligible_nineteenth_century_candidate,pass_1b_authoritative_resolved,eligible_probe,https://www.gutenberg.org/ebooks/29845,https://www.gutenberg.org/ebooks/29845.txt.utf-8,hit,quality_pass,,857214,837680,140223,13857,0,0.270733,0.782331,0.00078,1,editor_note:1,,,45f947499e6073ca4ce18d480fee89f59f04fbf47d30f322d02cb63d3d99f40d,138,,,,,,,,,,,,,quality_pass_pending_editorial_activation_review
29846,"I rossi e i neri, vol. 2","Barrili, Anton Giulio",date_and_role_review,author_died_after_1900_review,review_work_publication_date,pass_1b,nineteenth_century_bridge,nineteenth_century_bridge_candidate,eligible_nineteenth_century_candidate,pass_1b_authoritative_resolved,eligible_probe,https://www.gutenberg.org/ebooks/29846,https://www.gutenberg.org/ebooks/29846.txt.utf-8,hit,quality_pass,,827326,807792,135038,13160,0,0.262356,0.781751,0.000867,0,,,,dbe658e50c0fafab674269867af11207107dd52627e7b3ce1b0cba9b673cd93d,130,,,,,,,,,,,,,quality_pass_pending_editorial_activation_review
30030,I coniugi Varedo,"Castelnuovo, Enrico",date_and_role_review,author_died_after_1900_review,review_work_publication_date,pass_1b,nineteenth_century_bridge,nineteenth_century_bridge_candidate,eligible_nineteenth_century_candidate,pass_1b_authoritative_resolved,eligible_probe,https://www.gutenberg.org/ebooks/30030,https://www.gutenberg.org/ebooks/30030.txt.utf-8,hit,quality_pass,,464234,444730,73040,7687,0,0.262226,0.780334,0.000389,0,,,,ff01db3fa237f4a9cf8b223b5c23bb00db594d6d320eddc90a230514ab23b449,79,,,,,,,,,,,,,quality_pass_pending_editorial_activation_review
30738,"Opera nova amorosa, vol. 1: Strambotti, sonetti, capitoli, epistole et una disperata","Notturno, Napolitano",sonnet_specialization_candidate,unknown,review_missing_period_evidence,pass_1b,origins_through_1800,sonnet_specialization_candidate,eligible_historical_core_candidate,pass_1b_authoritative_resolved,eligible_probe,https://www.gutenberg.org/ebooks/30738,https://www.gutenberg.org/ebooks/30738.txt.utf-8,hit,quality_pass,,48728,29105,4904,665,0,0.225122,0.689572,0.000412,1,editor_note:1,,,eabf890bb646012828d90a6712dc95b9b1641eafbb7e8091769d02ad6c2ff23c,4,,,,,,,,,,,,,quality_pass_pending_editorial_activation_review
31000,Dal molino di Cerbaia a Cala Martina: Notizie inedite sulla vita di Giuseppe Garibaldi,"Guelfi, Guelfo",date_and_role_review,unknown,review_missing_period_evidence,pass_1b,nineteenth_century_bridge,nineteenth_century_bridge_candidate,eligible_nineteenth_century_candidate,pass_1b_authoritative_resolved,eligible_probe,https://www.gutenberg.org/ebooks/31000,https://www.gutenberg.org/ebooks/31000.txt.utf-8,hit,quality_pass,,189065,169545,27620,2572,0,0.266691,0.797334,0.00276,1,editor_note:1,,,984ef300cb4d374d4d790be7c473d8af4cd38fa4b823a60d1a7610b38414befa,25,,,,,,,,,,,,,quality_pass_pending_editorial_activation_review
31285,"Opera nova amorosa, vol. 2: Traggedia","Notturno, Napolitano",historical_non_sonnet_poetry_candidate,unknown,review_missing_period_evidence,pass_1b,origins_through_1800,historical_non_sonnet_poetry_candidate,eligible_historical_core_candidate,pass_1b_authoritative_resolved,eligible_probe,https://www.gutenberg.org/ebooks/31285,https://www.gutenberg.org/ebooks/31285.txt.utf-8,hit,quality_pass,,67087,47405,7221,997,0,0.208835,0.614007,0.000253,1,editor_note:1,,,90d1d592c5b6137da03593155e38c2fe43505c0c07dbbbc5fc4a696ddcf145ec,9,,,,,,,,,,,,,quality_pass_pending_editorial_activation_review
31818,"Opera nova amorosa, vol. 3: Comedia nova","Notturno, Napolitano",historical_non_sonnet_poetry_candidate,unknown,review_missing_period_evidence,pass_1b,origins_through_1800,historical_non_sonnet_poetry_candidate,eligible_historical_core_candidate,pass_1b_authoritative_resolved,eligible_probe,https://www.gutenberg.org/ebooks/31818,https://www.gutenberg.org/ebooks/31818.txt.utf-8,hit,quality_pass,,132911,113288,18141,2483,0,0.229425,0.604062,0.000106,1,editor_note:1,,,57c69ecb5b31e26d56362d38f476bd5ed53922d962568a4fe54825f8f36b5827,23,,,,,,,,,,,,,quality_pass_pending_editorial_activation_review
