work_root_id,root_title,landing_page_url,author_evidence,period_bucket,input_role,final_broader_role,direct_scan_title,scan_rights_id,checkpoint_4c_decision,quality_flags,source_cache_path,source_sha256,source_character_count,canonical_reference_ids,removed_reference_ids,rights_decision,final_decision,resolution_reason,retained_broader_character_count,excluded_character_count,sonnet_candidate_count,activation_status
itws:52411,I Viceré,https://it.wikisource.org/wiki/I_Vicer%C3%A9,Federico De Roberto,nineteenth_century,nineteenth_century_bridge,nineteenth_century_bridge,I Vicerè.djvu,itws-scan:274999,hold_quality_or_editorial_review,language_variety_marker,data/local/wikisource/page_extraction_v1/root_texts/itws_52411.txt,91ef7a641a1123de9d3cfc17dab13f3dfb5c82686fa6711c999131111a544201,1291533,,,rights_pass,exclude_quality_language_or_editorial_hold,"Non-removable quality, language-variety, transcription-gap, or editorial evidence remains.",0,1291533,0,inactive_pending_cross_archive_freeze
itws:53578,Poesie italiane,https://it.wikisource.org/wiki/Poesie_italiane,Giuseppe Torelli,origins_through_1800,historical_non_sonnet_poetry,historical_non_sonnet_poetry,Poesie italiane.djvu,itws-scan:247068,hold_unresolved_markup,unresolved_html_tag,data/local/wikisource/page_extraction_v1/root_texts/itws_53578.txt,804a130fdde7da524a6d16afb02db6164e2fb1dda3934688d43837afd15317ec,21174,,,rights_pass,exclude_unresolved_markup,Unknown markup may contain or corrupt primary text.,0,21174,0,inactive_pending_cross_archive_freeze
itws:54204,Donna leggiadra il cui bel nome honora,https://it.wikisource.org/wiki/Donna_leggiadra_il_cui_bel_nome_honora,John Milton,origins_through_1800,historical_non_sonnet_poetry,historical_non_sonnet_poetry,"Poems of Mr. John Milton, Both English and Latin, Compos'd at several times.djvu",itws-scan:317916,eligible_inactive_pending_processed_build,,data/local/wikisource/page_extraction_v1/root_texts/itws_54204.txt,474b61c4df7ec80f160f1831c339b6e903ecd50ac8272e6c83ad9a18fb5378f5,534,,,rights_pass,eligible_inactive_processed_build,"Rights, quality, canonicalization, and protected-material gates passed.",5,529,1,inactive_pending_cross_archive_freeze
itws:54205,"Qual in colle aspro, al imbrunir di sera","https://it.wikisource.org/wiki/Qual_in_colle_aspro,_al_imbrunir_di_sera",John Milton,origins_through_1800,historical_non_sonnet_poetry,historical_non_sonnet_poetry,"Poems of Mr. John Milton, Both English and Latin, Compos'd at several times.djvu",itws-scan:317916,eligible_inactive_pending_processed_build,,data/local/wikisource/page_extraction_v1/root_texts/itws_54205.txt,8211265e6f80a50676f3bc6042abdfb9c512b71f636bae72ff9c4ccaf8f4e147,530,,,rights_pass,eligible_inactive_processed_build,"Rights, quality, canonicalization, and protected-material gates passed.",530,0,0,inactive_pending_cross_archive_freeze
itws:54206,"Diodati, e te'l dirò con maraviglia","https://it.wikisource.org/wiki/Diodati,_e_te'l_dir%C3%B2_con_maraviglia",John Milton,origins_through_1800,historical_non_sonnet_poetry,historical_non_sonnet_poetry,"Poems of Mr. John Milton, Both English and Latin, Compos'd at several times.djvu",itws-scan:317916,eligible_inactive_pending_processed_build,,data/local/wikisource/page_extraction_v1/root_texts/itws_54206.txt,844a95869a7d634d974ce96ddb32f60e40322de41e1d19b25cd2aec9f0603d40,530,itws:43787,,rights_pass,eligible_sonnets_only_inactive,Duplicate broader remainder excluded; unique verified sonnet artifacts remain eligible and inactive.,0,530,1,inactive_pending_cross_archive_freeze
itws:54208,Ridonsi donne e giovani amorosi,https://it.wikisource.org/wiki/Ridonsi_donne_e_giovani_amorosi,John Milton,origins_through_1800,historical_non_sonnet_poetry,historical_non_sonnet_poetry,"Poems of Mr. John Milton, Both English and Latin, Compos'd at several times.djvu",itws-scan:317916,eligible_inactive_pending_processed_build,,data/local/wikisource/page_extraction_v1/root_texts/itws_54208.txt,f0c90e386f92c7b3c1a3ca7a360b7bd6a01506aa767ff3c53e127748c660ff0d,562,,,rights_pass,eligible_inactive_processed_build,"Rights, quality, canonicalization, and protected-material gates passed.",562,0,0,inactive_pending_cross_archive_freeze
itws:54209,Per certo i bei vostr'occhi Donna mia,https://it.wikisource.org/wiki/Per_certo_i_bei_vostr'occhi_Donna_mia,John Milton,origins_through_1800,historical_non_sonnet_poetry,historical_non_sonnet_poetry,"Poems of Mr. John Milton, Both English and Latin, Compos'd at several times.djvu",itws-scan:317916,eligible_inactive_pending_processed_build,,data/local/wikisource/page_extraction_v1/root_texts/itws_54209.txt,852cc134950d2ebe78803d282d82dabcce25dd46a59af453c320184d68d6306e,538,,,rights_pass,eligible_inactive_processed_build,"Rights, quality, canonicalization, and protected-material gates passed.",538,0,0,inactive_pending_cross_archive_freeze
itws:54210,"Giovane piano, e semplicetto amante","https://it.wikisource.org/wiki/Giovane_piano,_e_semplicetto_amante",John Milton,origins_through_1800,historical_non_sonnet_poetry,historical_non_sonnet_poetry,"Poems of Mr. John Milton, Both English and Latin, Compos'd at several times.djvu",itws-scan:317916,eligible_inactive_pending_processed_build,,data/local/wikisource/page_extraction_v1/root_texts/itws_54210.txt,8fea58f40e5dda519164bbd225af33b241125ab88451bb17c4e536c56d7ab4e2,528,itws:43789,,rights_pass,eligible_sonnets_only_inactive,Duplicate broader remainder excluded; unique verified sonnet artifacts remain eligible and inactive.,0,528,1,inactive_pending_cross_archive_freeze
itws:57190,Poesie campestri,https://it.wikisource.org/wiki/Poesie_campestri,Ippolito Pindemonte,nineteenth_century,nineteenth_century_bridge,nineteenth_century_bridge,Le prose e poesie campestri....djvu,itws-scan:120657,hold_duplicate_review,,data/local/wikisource/page_extraction_v1/root_texts/itws_57190.txt,9ddb6d69c36c25d791ab2537b5aa1bbb2924ad84203c9fbae2ac92dd59e12ca1,54052,bibit:bibit001489,,rights_pass,exclude_canonical_cross_corpus_duplicate,An already resolved project source contains this Wikisource root.,0,54052,0,inactive_pending_cross_archive_freeze
itws:57205,Sonetto per una cena data da alcuni Lettori dell'Università di Pisa a certi scolari loro amici,https://it.wikisource.org/wiki/Sonetto_per_una_cena_data_da_alcuni_Lettori_dell'Universit%C3%A0_di_Pisa_a_certi_scolari_loro_amici,Galileo Galilei,origins_through_1800,historical_non_sonnet_poetry,historical_non_sonnet_poetry,"Saggi di prose e poesie de' più celebri scrittori d'ogni secolo, Volumi 1-2, Londra, 1796.pdf",itws-scan:897156,eligible_inactive_pending_processed_build,,data/local/wikisource/page_extraction_v1/root_texts/itws_57205.txt,857fafc84b7845f023f1c0092fb23ec83d083910c17dbbd5498ca9f6e2c6d268,2078,,,rights_pass,eligible_inactive_processed_build,"Rights, quality, canonicalization, and protected-material gates passed.",2078,0,0,inactive_pending_cross_archive_freeze
itws:57238,L'enimma (Alberi),https://it.wikisource.org/wiki/L'enimma_(Alberi),Galileo Galilei,origins_through_1800,historical_non_sonnet_poetry,historical_non_sonnet_poetry,Opere complete di Galileo Galilei XV.djvu,itws-scan:257605,hold_duplicate_review,,data/local/wikisource/page_extraction_v1/root_texts/itws_57238.txt,7db7cfd0e6fc76f612c41167affb8c4a1b45bb566975150f3353524ecf1535cd,592,,,rights_pass,eligible_inactive_processed_build,"Rights, quality, canonicalization, and protected-material gates passed.",592,0,0,inactive_pending_cross_archive_freeze
itws:57242,Arabella,https://it.wikisource.org/wiki/Arabella,Emilio De Marchi,nineteenth_century,nineteenth_century_bridge,nineteenth_century_bridge,Arabella.djvu,itws-scan:200658,eligible_inactive_pending_processed_build,,data/local/wikisource/page_extraction_v1/root_texts/itws_57242.txt,990a03d44db345a350f193b8f98143c5f746a0bc97b57a398332e065b68fd1c8,630029,,,rights_pass,eligible_inactive_processed_build,"Rights, quality, canonicalization, and protected-material gates passed.",630029,0,0,inactive_pending_cross_archive_freeze
