object_id,title,authors,periods,genres,assigned_role,route,audit_status,audit_flags,duplicate_of_object_id,cache_status,tei_sha256,body_characters,candidate_safe_characters,routed_training_characters,residual_characters,non_sonnet_verse_characters,explicit_sonnet_count,structural_14_line_candidate_count,structural_sonnet_variant_count,eligible_new_sonnet_count,held_out_text_hits,bracketed_text_markers,editorial_reference_markers,digital_title,digital_authors,source_titles,source_editors,source_publisher,source_publication_place,source_publication_date,source_identifier,availability,tei_languages,tei_genres,revision_count,landing_page_url,xml_url,error
bibit000388,Siroe,"Metastasio, Pietro",700,Letteratura teatrale,historical_general,historical_general,activation_candidate,,,hit,66f5a380686a0285b7938c5f748b9abdb730f864ec8d3aec2c7ac0982a5baf5b,56494,55922,55922,50901,5558,0,1,0,0,,0,0,Siroe,Pietro Metastasio,Tutte le opere di P. Metastasio;v.,"Brunelli, Bruno",Mondadori,Milano,1943,,"Questa risorsa digitale è liberamente accessibile per uso
 personale o scientifico. Ogni uso commerciale è vietato",Italiano,Letteratura teatrale,4,http://www.bibliotecaitaliana.it/scheda/bibit000388,http://backend.bibliotecaitaliana.it/wp-json/muruca-core/v1/xml/bibit000388,
bibit001604,Temistocle,"Metastasio, Pietro",700,Letteratura teatrale,historical_general,historical_general,activation_candidate,,,hit,c8960708368afab26ff6f4b54488daf07df82a9e2890a7efb1d0b3dc08b3eab7,55878,55443,55443,50815,5030,0,1,0,0,,0,0,Temistocle,Pietro Metastasio,Tutte le opere di Pietro Metastasio;v.,"Brunelli, Bruno",A. Mondadori,Milano,1953,,"Questa risorsa digitale è liberamente accessibile per uso
 personale o scientifico. Ogni uso commerciale è vietato",Italiano,Letteratura teatrale,4,http://www.bibliotecaitaliana.it/scheda/bibit001604,http://backend.bibliotecaitaliana.it/wp-json/muruca-core/v1/xml/bibit001604,
bibit000731,Zenobia,"Metastasio, Pietro",700,Letteratura teatrale,historical_general,historical_general,activation_candidate,,,hit,4deb18bf330c8c7dc2a1c5152d9fdf4f33a17a2fd0a967b3962d9261e0d9e793,50566,50566,50566,46492,4043,0,0,0,0,,0,0,Zenobia,Pietro Metastasio,Tutte le opere di Pietro Metastasio;v.,"Brunelli, Bruno",A. Mondadori,Milano,1953,,"Questa risorsa digitale è liberamente accessibile per uso
 personale o scientifico. Ogni uso commerciale è vietato",Italiano,Letteratura teatrale,4,http://www.bibliotecaitaliana.it/scheda/bibit000731,http://backend.bibliotecaitaliana.it/wp-json/muruca-core/v1/xml/bibit000731,
bibit001242,Relazione di Francia,"Michiel, Francesco",600,Documenti,historical_general,historical_general,activation_candidate,note_multilingual_metadata,,hit,5271a154570a8bdccec1fe05076d23630a9380f0ab389454f5bdac9b648b24c6,96265,96265,96265,96265,0,0,0,0,0,,0,0,Relazione di Francia,Francesco Michiel,Relazioni di ambasciatori veneti al Senato : tratte dalle migliori edizioni disponibili e ordinate cronologicamente;vol.,,Bottega d'Erasmo,Torino,1965,,"Questa risorsa digitale è liberamente accessibile per uso
 personale o scientifico. Ogni uso commerciale è vietato",Italiano;Latino,Documenti,4,http://www.bibliotecaitaliana.it/scheda/bibit001242,http://backend.bibliotecaitaliana.it/wp-json/muruca-core/v1/xml/bibit001242,
bibit000471,Relazione di Germania (1678),"Michiel, Francesco",600,Documenti,historical_general,historical_general,activation_candidate,note_multilingual_metadata,,hit,b3c520909a603ae239560c520cab93f3d5e71e2b5c9f06b4a25676ef1826727e,103170,103170,103170,103170,0,0,0,0,0,,0,0,Relazione di Germania (1678),Francesco Michiel,Relazioni di ambasciatori veneti al Senato : tratte dalle migliori edizioni disponibili e ordinate cronologicamente /;vol.,,Bottega d'Erasmo,Torino,1965,,"Questa risorsa digitale è liberamente accessibile per uso
 personale o scientifico. Ogni uso commerciale è vietato",Italiano;Latino,Documenti,4,http://www.bibliotecaitaliana.it/scheda/bibit000471,http://backend.bibliotecaitaliana.it/wp-json/muruca-core/v1/xml/bibit000471,
bibit000152,Relazione di Germania (1564),"Michiel, Zuan",500,Documenti,historical_general,historical_general,activation_candidate,note_multilingual_metadata,,hit,a30905d52e217ed46a1fa457e4797d01a80b6fc4a3f366893a8dba863e04d3f4,109640,109640,109640,109640,0,0,0,0,0,,0,0,Relazione di Germania (1564),Zuan Michiel,Relazioni di ambasciatori veneti al Senato : tratte dalle migliori edizioni disponibili e ordinate cronologicamente;vol.,,Bottega d'Erasmo,Torino,1965,,"Questa risorsa digitale è liberamente accessibile per uso
 personale o scientifico. Ogni uso commerciale è vietato",Italiano;Latino,Documenti,4,http://www.bibliotecaitaliana.it/scheda/bibit000152,http://backend.bibliotecaitaliana.it/wp-json/muruca-core/v1/xml/bibit000152,
bibit001621,Relazione di Germania (1571),"Michiel, Zuan",500,Documenti,historical_general,historical_general,activation_candidate,note_multilingual_metadata,,hit,5b8c61170918b85929e8ba211f9e1842b63331565e3a3edfb3f9a3a3f1751c2c,113508,113508,113508,113508,0,0,0,0,0,,1,0,Relazione di Germania (1571),Zuan Michiel,Relazioni di ambasciatori veneti al Senato : tratte dalle migliori edizioni disponibili e ordinate cronologicamente.,,Bottega d'Erasmo,Torino,1965,,"Questa risorsa digitale è liberamente accessibile per uso
 personale o scientifico. Ogni uso commerciale è vietato",Italiano;Latino,Documenti,4,http://www.bibliotecaitaliana.it/scheda/bibit001621,http://backend.bibliotecaitaliana.it/wp-json/muruca-core/v1/xml/bibit001621,
bibit000942,Relazione di Germania,"Minio, Polo",600,Documenti,historical_general,historical_general,activation_candidate,,,hit,fcf0b54239653837bbc1e96342e2873b2e7d57730e69c2fc84a896440b71436c,32459,32459,32459,32459,0,0,0,0,0,,0,0,Relazione di Germania,Polo Minio,Relazioni di ambasciatori veneti al Senato : tratte dalle migliori edizioni disponibili e ordinate cronologicamente;vol.,,Bottega d'Erasmo,Torino,1965,,"Questa risorsa digitale è liberamente accessibile per uso
 personale o scientifico. Ogni uso commerciale è vietato",Italiano,Documenti,4,http://www.bibliotecaitaliana.it/scheda/bibit000942,http://backend.bibliotecaitaliana.it/wp-json/muruca-core/v1/xml/bibit000942,
bibit000745,Amore prigioniero,"Minturno, Antonio",500,Trattati,historical_general,historical_general,activation_candidate,,,hit,be955865c57b550d795c7d70cc589fb89a0eb9ee8b602362a51570b7a353e55d,145036,145036,145036,130260,14767,0,0,0,0,,1,1,Amore prigioniero,Antonio Minturno,"Rime et prose del sig. Antonio Minturno, nuouamente mandate in luce...",,"Rampazetto, Francesco",Venezia,1559,,"Questa risorsa digitale è liberamente accessibile per uso
 personale o scientifico. Ogni uso commerciale è vietato",Italiano,Trattati,4,http://www.bibliotecaitaliana.it/scheda/bibit000745,http://backend.bibliotecaitaliana.it/wp-json/muruca-core/v1/xml/bibit000745,
bibit001425,Relatione di me Alvise Mocenigo K.,"Mocenigo, Alvise",500,Documenti,historical_general,historical_general,activation_candidate,note_multilingual_metadata,,hit,d69e1c6643aa53635f1425523317b07c7467ee1dfa060386acd309df2bf330b3,429985,429985,429985,429985,0,0,0,0,0,,0,2,Relatione di me Alvise Mocenigo K.,Alvise Mocenigo,Relazioni di ambasciatori veneti al Senato : tratte dalle migliori edizioni disponibili e ordinate cronologicamente,,Bottega d'Erasmo,Torino,1965,,"Questa risorsa digitale è liberamente accessibile per uso
 personale o scientifico. Ogni uso commerciale è vietato",Italiano;Latino,Documenti,4,http://www.bibliotecaitaliana.it/scheda/bibit001425,http://backend.bibliotecaitaliana.it/wp-json/muruca-core/v1/xml/bibit001425,
