ebook_id,title,authors,source_pool,source_archive,source_url,period_bucket,input_role,final_role,probe_decision,source_decision,extraction_policy,canonical_reference_ids,language_route,cache_path,cache_sha256,cleaned_sha256,cleaned_character_count,included_record_character_count,excluded_character_count,sonnet_candidate_count,eligible_standard_sonnet_count,unresolved_sonnet_review_count,residual_heldout_overlap_ids
47566,"Il Comento alla Divina Commedia, e gli altri scritti intorno a Dante, vol. 3","Boccaccio, Giovanni",initial_eligible_pool,Project Gutenberg,https://www.gutenberg.org/ebooks/47566,origins_through_1800,historical_general,historical_general,quality_pass_pending_editorial_activation_review,eligible_standard_core_pending_processed_build,preserve_boilerplate_stripped_primary_text,,standard_italian,data/local/gutenberg/fulltext_gate_v1/pg47566.txt,9270eb5da45caf74406fef7ebc924cabbbdd5c60e8d7f6cace4ff9f41b96c601,628cee2401ffe7a144f43cd6995b7eb1ae5f454e9fc47dae4882531b6051df5b,608967,608967,0,0,0,0,
47664,"Viaggi di Ali Bey el-Abbassi in Africa ed in Asia, v. 1",Ali Bey,initial_eligible_pool,Project Gutenberg,https://www.gutenberg.org/ebooks/47664,nineteenth_century_bridge,nineteenth_century_bridge,nineteenth_century_bridge,quality_pass_pending_editorial_activation_review,eligible_standard_core_pending_processed_build,preserve_boilerplate_stripped_primary_text,,standard_italian,data/local/gutenberg/fulltext_gate_v1/pg47664.txt,66adef4b9b4fcd38431420d8a2ee65362da0bfc99377c6c0acd1455c5d90e122,f7d2c5808c432839bdb4a6173c698cffa6288743cae13e60e855ee290f4744bd,281683,281428,255,0,0,0,
47665,"Viaggi di Ali Bey el-Abbassi in Africa ed in Asia, v. 2",Ali Bey,initial_eligible_pool,Project Gutenberg,https://www.gutenberg.org/ebooks/47665,nineteenth_century_bridge,nineteenth_century_bridge,nineteenth_century_bridge,quality_pass_pending_editorial_activation_review,eligible_standard_core_pending_processed_build,preserve_boilerplate_stripped_primary_text,,standard_italian,data/local/gutenberg/fulltext_gate_v1/pg47665.txt,eeb85da88f9d68297b1bf211222b65b027035e69b367edfa9fc9a26aace75199,187cd6d422ce4aa3d54447f22a2275235577e7051efae9a8dbecc42dec36a804,294621,294363,258,0,0,0,
47666,"Viaggi di Ali Bey el-Abbassi in Africa ed in Asia, v. 3",Ali Bey,initial_eligible_pool,Project Gutenberg,https://www.gutenberg.org/ebooks/47666,nineteenth_century_bridge,nineteenth_century_bridge,nineteenth_century_bridge,quality_pass_pending_editorial_activation_review,eligible_standard_core_pending_processed_build,preserve_boilerplate_stripped_primary_text,,standard_italian,data/local/gutenberg/fulltext_gate_v1/pg47666.txt,c77755149618b51cdb34b327b7589be6b60a6c19d9670e957ab9fb2eb3fc4b44,8220c0b03d74fb1c0ebc144ce4aed2d55126f80db407578a1ec8c510a958a76a,315911,315688,223,0,0,0,
47667,"Viaggi di Ali Bey el-Abbassi in Africa ed in Asia, v. 4",Ali Bey,initial_eligible_pool,Project Gutenberg,https://www.gutenberg.org/ebooks/47667,nineteenth_century_bridge,nineteenth_century_bridge,nineteenth_century_bridge,quality_pass_pending_editorial_activation_review,eligible_standard_core_pending_processed_build,preserve_boilerplate_stripped_primary_text,,standard_italian,data/local/gutenberg/fulltext_gate_v1/pg47667.txt,b1657263e117e31fa6bf6ce8a65a00aaae8e0877f093381abaacd415d589d66f,7df176ac4e371c16fc0f40b1dd34941ac253f948efca9d435c54553f7a039491,226576,226353,223,0,0,0,
47888,I Bianchi e i Neri: Dramma,"Guerrazzi, Francesco Domenico",initial_eligible_pool,Project Gutenberg,https://www.gutenberg.org/ebooks/47888,nineteenth_century_bridge,historical_non_sonnet_poetry,historical_non_sonnet_poetry,quality_pass_pending_editorial_activation_review,eligible_standard_core_pending_processed_build,preserve_boilerplate_stripped_primary_text,,standard_italian,data/local/gutenberg/fulltext_gate_v1/pg47888.txt,a7d9c6a69848ac8a8183a2f5d5da90f83d1c35f6f2e0da48b91069351b3d93d7,eb4579ba92c2f2251af74ae825870b9e04f5ed1645656e59f5fb8045039f2495,130474,130330,144,0,0,0,
47889,"Pensieri, Discorsi, Illustrazioni","Guerrazzi, Francesco Domenico",initial_eligible_pool,Project Gutenberg,https://www.gutenberg.org/ebooks/47889,nineteenth_century_bridge,nineteenth_century_bridge,nineteenth_century_bridge,quality_pass_pending_editorial_activation_review,eligible_standard_core_pending_processed_build,preserve_boilerplate_stripped_primary_text,,standard_italian,data/local/gutenberg/fulltext_gate_v1/pg47889.txt,4d1cb9c0be04ff3fbc6237df7b10df1d00a8e704677ec7a205af02f961c502b4,90afb7e245c13e93bdcb95380452087fda207e102ecc3536715e2f0088ca3df1,258889,258745,144,0,0,0,
47891,Veronica Cybo,"Guerrazzi, Francesco Domenico",initial_eligible_pool,Project Gutenberg,https://www.gutenberg.org/ebooks/47891,nineteenth_century_bridge,nineteenth_century_bridge,nineteenth_century_bridge,quality_pass_pending_editorial_activation_review,eligible_standard_core_pending_processed_build,preserve_boilerplate_stripped_primary_text,,standard_italian,data/local/gutenberg/fulltext_gate_v1/pg47891.txt,e79de0a5d6690fb687fac6efeef205843b168550ca661962e3057d8b3fb31872,98f29d2258d84f8e6b13026c716cb0186e0f841eb5e9c8644782fe8ce082c74a,132390,132246,144,0,0,0,
47978,La vendetta paterna,"Guerrazzi, Francesco Domenico",initial_eligible_pool,Project Gutenberg,https://www.gutenberg.org/ebooks/47978,nineteenth_century_bridge,nineteenth_century_bridge,nineteenth_century_bridge,quality_pass_pending_editorial_activation_review,eligible_standard_core_pending_processed_build,preserve_boilerplate_stripped_primary_text,,standard_italian,data/local/gutenberg/fulltext_gate_v1/pg47978.txt,0ec4c7338bbaef59f91d8d18ddd68fbf2d2aacf87392c411bfb89555e82e4d27,1127e5da6c77bcaa20e1edd36c2c164db5d28fd8b1b43ac8c66ccbfef5dc55ca,274269,274125,144,0,0,0,
48070,Linguaggio e proverbi marinareschi,"Celesia, Emanuele",initial_eligible_pool,Project Gutenberg,https://www.gutenberg.org/ebooks/48070,nineteenth_century_bridge,nineteenth_century_bridge,nineteenth_century_bridge,quality_pass_pending_editorial_activation_review,eligible_standard_core_pending_processed_build,preserve_boilerplate_stripped_primary_text,,standard_italian,data/local/gutenberg/fulltext_gate_v1/pg48070.txt,fb0f780ce179f0f741afa11b807470f40026968c395acb149d0d39590a7071fa,5c318b07905b1865aafbfe7e6385cb65c1a674a5b7e7d3ceb99a084943b4358e,172265,172265,0,0,0,0,
48114,Apologia della vita politica di F.-D. Guerrazzi,"Guerrazzi, Francesco Domenico",initial_eligible_pool,Project Gutenberg,https://www.gutenberg.org/ebooks/48114,nineteenth_century_bridge,nineteenth_century_bridge,nineteenth_century_bridge,quality_pass_pending_editorial_activation_review,eligible_standard_core_pending_processed_build,preserve_boilerplate_stripped_primary_text,,standard_italian,data/local/gutenberg/fulltext_gate_v1/pg48114.txt,9ee115bb12b625903c517af8e519b1eba038c8a6e67bc9b8dba06dd407561219,8e56cde901828d38d8a2ca94c3278125efdf8ad17b6be3523252b93586aa5663,2013210,2012983,227,0,0,0,
48188,"Annali d'Italia, vol. 4: dal principio dell'era volgare sino all'anno 1750","Muratori, Lodovico Antonio",initial_eligible_pool,Project Gutenberg,https://www.gutenberg.org/ebooks/48188,origins_through_1800,historical_general,historical_general,quality_pass_pending_editorial_activation_review,eligible_standard_core_pending_processed_build,preserve_boilerplate_stripped_primary_text,,standard_italian,data/local/gutenberg/fulltext_gate_v1/pg48188.txt,c5da75f26ce2b2f5904935848cde4b7bebf1680523e560b6d57c17c138a7944b,f44ab6abf8aca7214768b853ed53d1bfbf4c0479ec453eef0ad0f14608c75b1b,2455522,2455317,205,0,0,0,
48267,Vita di Francesco Burlamacchi,"Guerrazzi, Francesco Domenico",initial_eligible_pool,Project Gutenberg,https://www.gutenberg.org/ebooks/48267,nineteenth_century_bridge,nineteenth_century_bridge,nineteenth_century_bridge,quality_pass_pending_editorial_activation_review,eligible_standard_core_pending_processed_build,preserve_boilerplate_stripped_primary_text,,standard_italian,data/local/gutenberg/fulltext_gate_v1/pg48267.txt,a78a8cef3d73efd80a5e56181fc80768d03240a3b66c93693cc4bf2fc2f7b16a,674b76a88ffeba4083275eebf4675bf9ddb5bb2649d6ad5e678d1488e7106823,642305,642105,200,0,0,0,
48332,"Fra Tommaso Campanella, Vol. 2: la sua congiura, i suoi processi e la sua pazzia","Amabile, Luigi",initial_eligible_pool,Project Gutenberg,https://www.gutenberg.org/ebooks/48332,nineteenth_century_bridge,nineteenth_century_bridge,nineteenth_century_bridge,quality_pass_pending_editorial_activation_review,eligible_standard_core_pending_processed_build,preserve_boilerplate_stripped_primary_text,,standard_italian,data/local/gutenberg/fulltext_gate_v1/pg48332.txt,6f9129c36be72241e3b5b21250cd6b4357b9a0ff3571432a3a8ded30e08f65dc,4c602d96e8b7318bb2c36fcd0db85127dfc4c261a5f69ee39371e8d76089f432,1365792,1364724,1068,0,0,0,
