record_id,archive_id,source_item_id,title,creator,created_date,created_year,period_bucket,language,source_type,landing_page_url,rights_text,license_url,format,extent,bitstream_url,metadata_sha256,metadata_cache_path,metadata_decision,metadata_rationale,assigned_role,activation_status
ota_1043,oxford_text_archive,1043,La coscienza di Zeno / Italo Svevo,"Svevo, Italo, 1861-1928",1923,1923,post_1900,Italian; ita,Text,https://llds.ling-phil.ox.ac.uk/llds/xmlui/handle/20.500.14106/1043,Distributed by the University of Oxford under a Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License. | http://creativecommons.org/licenses/by-nc-sa/3.0/ | PUB,http://creativecommons.org/licenses/by-nc-sa/3.0/,,Text data (1 file : ca. 869 KB),https://llds.ling-phil.ox.ac.uk/llds/xmlui/bitstream/handle/20.500.14106/1043/svevo1043.txt?sequence=4&isAllowed=y,b9c7168124839c21bb8464dc50fb065566ca94e4b0be280f31dbeea50c817582,data/local/ilc_ota_source_audit_v1/metadata/ota_1043.bin,excluded_post_1900,underlying work date 1923 is after 1900,excluded,inactive_metadata_only
ota_1062,oxford_text_archive,1062,Amori and Discorsi,"Magnanini, Orazio, 16th/17th cent",1553-1570,1553,1501_to_1700,Italian; ita,Text,https://llds.ling-phil.ox.ac.uk/llds/xmlui/handle/20.500.14106/1062,Distributed by the University of Oxford under a Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License. | http://creativecommons.org/licenses/by-nc-sa/3.0/ | PUB,http://creativecommons.org/licenses/by-nc-sa/3.0/,,Text data (1 file : ca. 309 KB),https://llds.ling-phil.ox.ac.uk/llds/xmlui/bitstream/handle/20.500.14106/1062/amori-1062.txt?sequence=4&isAllowed=y,964daf282eb766be84d10aaec2757b718b616ea5e2b4b2f136efe2be4b1b0316,data/local/ilc_ota_source_audit_v1/metadata/ota_1062.bin,eligible_text_probe_inactive,"compatible terms, Italian Text item, pre-1901 work, and direct bitstream",historical_general,inactive_metadata_only
ota_1099,oxford_text_archive,1099,Il Teseide / compiled by Antonio Zampolli,"Boccaccio, Giovani,  1313-1375",1340-1341,1340,origins_to_1500,Italian; ita,Text,https://llds.ling-phil.ox.ac.uk/llds/xmlui/handle/20.500.14106/1099,Distributed by the University of Oxford under a Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License. | http://creativecommons.org/licenses/by-nc-sa/3.0/ | PUB,http://creativecommons.org/licenses/by-nc-sa/3.0/,,Text data 522 KB Contains markup characters,https://llds.ling-phil.ox.ac.uk/llds/xmlui/bitstream/handle/20.500.14106/1099/tesedoc-1099.txt?sequence=4&isAllowed=y;https://llds.ling-phil.ox.ac.uk/llds/xmlui/bitstream/handle/20.500.14106/1099/teseide-1099.txt?sequence=5&isAllowed=y,b3e777326b24ab034a75a07b26726b513f2423b44bc6f1166fc89dba377c83d3,data/local/ilc_ota_source_audit_v1/metadata/ota_1099.bin,eligible_text_probe_inactive,"compatible terms, Italian Text item, pre-1901 work, and direct bitstream",historical_non_sonnet_poetry,inactive_metadata_only
ota_1100,oxford_text_archive,1100,Orlando innamorato / compiled by David Robey and Marco Dorigatti,"Boiardo, Matteo Maria,  1440 or 41-1494",1495,1495,origins_to_1500,Italian; ita,Text,https://llds.ling-phil.ox.ac.uk/llds/xmlui/handle/20.500.14106/1100,Distributed by the University of Oxford under a Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License. | http://creativecommons.org/licenses/by-nc-sa/3.0/ | PUB,http://creativecommons.org/licenses/by-nc-sa/3.0/,,Text data 3 files ; 1.4 MB Contains markup characters,https://llds.ling-phil.ox.ac.uk/llds/xmlui/bitstream/handle/20.500.14106/1100/boiardo-1100.txt?sequence=4&isAllowed=y;https://llds.ling-phil.ox.ac.uk/llds/xmlui/bitstream/handle/20.500.14106/1100/boiardoc-1100.txt?sequence=5&isAllowed=y,8f486fb4118acfc38331abf6526ca1f5a4fca19dafc44f76086636fbcb2be9da,data/local/ilc_ota_source_audit_v1/metadata/ota_1100.bin,eligible_text_probe_inactive,"compatible terms, Italian Text item, pre-1901 work, and direct bitstream",historical_non_sonnet_poetry,inactive_metadata_only
ota_1120,oxford_text_archive,1120,Decameron,"Boccaccio, Giovanni",1353,1353,origins_to_1500,Italian; ita,Text,https://llds.ling-phil.ox.ac.uk/llds/xmlui/handle/20.500.14106/1120,Distributed by the University of Oxford under a Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License. | http://creativecommons.org/licenses/by-nc-sa/3.0/ | PUB,http://creativecommons.org/licenses/by-nc-sa/3.0/,,Text data 2 files ; 56 MB,https://llds.ling-phil.ox.ac.uk/llds/xmlui/bitstream/handle/20.500.14106/1120/bocac02-1120.txt?sequence=4&isAllowed=y;https://llds.ling-phil.ox.ac.uk/llds/xmlui/bitstream/handle/20.500.14106/1120/bocac03-1120.txt?sequence=5&isAllowed=y,2302e27765c1a8ccd712101720ba215ed46912999f15c945314909975b6d9b88,data/local/ilc_ota_source_audit_v1/metadata/ota_1120.bin,eligible_text_probe_inactive,"compatible terms, Italian Text item, pre-1901 work, and direct bitstream",historical_general,inactive_metadata_only
ota_1372,oxford_text_archive,1372,The PIXI corpora : bookshop encounters in English and Italian / L. Gavioli [and] G. Mansfield,"Gavioli, Laura; Mansfield, Gillian",1990,1990,post_1900,English; Italian; eng; ita,Corpus,https://llds.ling-phil.ox.ac.uk/llds/xmlui/handle/20.500.14106/1372,Use of this resource is restricted in some manner. Usually this means that it is available for non-commercial use only with prior permission of the depositor and on condition that this header is included in its entirety with any copy distributed. | https://hdl.handle.net/20.500.14106/licence-ota | ACA,,,Text data (1 file : ca. 287 KB),https://llds.ling-phil.ox.ac.uk/llds/xmlui/bitstream/handle/20.500.14106/1372/intro1-1372.txt?sequence=4&isAllowed=y;https://llds.ling-phil.ox.ac.uk/llds/xmlui/bitstream/handle/20.500.14106/1372/lod2-1372.txt?sequence=5&isAllowed=y;https://llds.ling-phil.ox.ac.uk/llds/xmlui/bitstream/handle/20.500.14106/1372/pixi-1372.txt?sequence=6&isAllowed=y;https://llds.ling-phil.ox.ac.uk/llds/xmlui/bitstream/handle/20.500.14106/1372/readme-1372.txt?sequence=7&isAllowed=y,20966c2286bb4a338178a0b92d2e4c65afade0e2a3af24f3fd71c2ab46d77f33,data/local/ilc_ota_source_audit_v1/metadata/ota_1372.bin,excluded_not_primary_text,item type is not Text,excluded,inactive_metadata_only
ota_1390,oxford_text_archive,1390,Morgante / Luigi Pulci,"Pulci, Luigi, 1432-1484",1478,1478,origins_to_1500,Italian; ita,Text,https://llds.ling-phil.ox.ac.uk/llds/xmlui/handle/20.500.14106/1390,Distributed by the University of Oxford under a Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License. | http://creativecommons.org/licenses/by-nc-sa/3.0/ | PUB,http://creativecommons.org/licenses/by-nc-sa/3.0/,,"Text data (2 files : ca. 1,173, 10 KB)",https://llds.ling-phil.ox.ac.uk/llds/xmlui/bitstream/handle/20.500.14106/1390/pulci-1390.txt?sequence=4&isAllowed=y;https://llds.ling-phil.ox.ac.uk/llds/xmlui/bitstream/handle/20.500.14106/1390/pulcidoc-1390.txt?sequence=5&isAllowed=y,f3096e1a0e049159d1021afa45e5d77347a0fb8be0b23e02339d6ae49f61a254,data/local/ilc_ota_source_audit_v1/metadata/ota_1390.bin,eligible_text_probe_inactive,"compatible terms, Italian Text item, pre-1901 work, and direct bitstream",historical_non_sonnet_poetry,inactive_metadata_only
ota_1723,oxford_text_archive,1723,Corpus of Italian Newspapers / [compiled by] Elisabeth Burr,,1993-10-01,1993,post_1900,Italian; ita,Corpus,https://llds.ling-phil.ox.ac.uk/llds/xmlui/handle/20.500.14106/1723,Distributed by the University of Oxford under a Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License. | http://creativecommons.org/licenses/by-nc-sa/3.0/ | PUB,http://creativecommons.org/licenses/by-nc-sa/3.0/,,Text data (6 files : ca. 3.3 MB),https://llds.ling-phil.ox.ac.uk/llds/xmlui/bitstream/handle/20.500.14106/1723/corr21-1723.txt?sequence=4&isAllowed=y;https://llds.ling-phil.ox.ac.uk/llds/xmlui/bitstream/handle/20.500.14106/1723/matt20-1723.txt?sequence=5&isAllowed=y;https://llds.ling-phil.ox.ac.uk/llds/xmlui/bitstream/handle/20.500.14106/1723/matt21-1723.txt?sequence=6&isAllowed=y;https://llds.ling-phil.ox.ac.uk/llds/xmlui/bitstream/handle/20.500.14106/1723/rep21-1723.txt?sequence=7&isAllowed=y;https://llds.ling-phil.ox.ac.uk/llds/xmlui/bitstream/handle/20.500.14106/1723/stampa20-1723.txt?sequence=8&isAllowed=y;https://llds.ling-phil.ox.ac.uk/llds/xmlui/bitstream/handle/20.500.14106/1723/stampa21-1723.txt?sequence=9&isAllowed=y,0fb0662b8e5d1bd595d2a00e07f24d6bf1dd53391234dc018c3827ff4968b4e8,data/local/ilc_ota_source_audit_v1/metadata/ota_1723.bin,excluded_not_primary_text,item type is not Text,excluded,inactive_metadata_only
ota_2426,oxford_text_archive,2426,COMIC : Commercial Italian Corpus / Sara Laviosa,"Capriati, Michele",1996-2001,1996,post_1900,Italian; ita,Corpus,https://llds.ling-phil.ox.ac.uk/llds/xmlui/handle/20.500.14106/2426,Distributed by the University of Oxford under a Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License. | http://creativecommons.org/licenses/by-nc-sa/3.0/ | PUB,http://creativecommons.org/licenses/by-nc-sa/3.0/,,Text data (232 files : total of ca. 1.5 MB),https://llds.ling-phil.ox.ac.uk/llds/xmlui/bitstream/handle/20.500.14106/2426/2426.zip?sequence=4&isAllowed=y,951ce1cf81d833c79efb468768a26f276159446b70a70783989f1a8f505f8fdb,data/local/ilc_ota_source_audit_v1/metadata/ota_2426.bin,excluded_not_primary_text,item type is not Text,excluded,inactive_metadata_only
ota_2503,oxford_text_archive,2503,Avant-Garde/Neo-Avant-Garde Bibliographic Research Database,"Hemus, Ruth; Schaffner, Anna Katharina; Scheunemann, Dietrich; Otty, Lisa",1900-1999,1900,ottocento_bridge,English; German; French; Italian; Spanish; Portuguese; Russian; Dutch; Danish; Swedish; Czech; Japanese; Romanian; eng; deu; fra; ita; spa; por; rus; nld; dan; swe; ces; jpn; ron,Corpus,https://llds.ling-phil.ox.ac.uk/llds/xmlui/handle/20.500.14106/2503,Distributed by the University of Oxford under a Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License. | http://creativecommons.org/licenses/by-nc-sa/3.0/ | PUB,http://creativecommons.org/licenses/by-nc-sa/3.0/,,CollectionText 2 files : ca. 3.51 MB,https://llds.ling-phil.ox.ac.uk/llds/xmlui/bitstream/20.500.14106/2503/4/Avant-GardeNeo-Avant-GardeDatabaseDescription.pdf,b36c8b50448381184e4ab8569893cf118d77e696bab55ae5a2d4781f342afd01,data/local/ilc_ota_source_audit_v1/metadata/ota_2503.bin,excluded_not_primary_text,item type is not Text,excluded,inactive_metadata_only
